Fluid	StartDate	StartTime	EndDate	EndTime	T	dT	p	dp	tau	dtau
HELIUM	2023.05.15	12:55:31	2023.05.15	12:58:34	313.01074949391	0.0158171419440002	20.12525707409	0.0017464352628794	0.0025720435953776	2.75756307605503e-09
HELIUM	2023.05.15	12:58:35	2023.05.15	13:01:38	313.023514737445	0.00416682166849109	20.1246466828858	0.00182572981433094	0.00257204763590495	2.12010366383985e-09
HELIUM	2023.05.15	13:01:39	2023.05.15	13:04:43	313.018155233316	0.00577834713760091	20.1242412754136	0.00177490889996467	0.00257204693874783	2.02812618418965e-09
HELIUM	2023.05.15	13:20:36	2023.05.15	13:23:40	313.00806763098	0.0147216583650395	40.1384330205926	0.00225648706606629	0.00257401056586371	3.18352391781661e-09
HELIUM	2023.05.15	13:23:41	2023.05.15	13:26:44	313.029437970038	0.0056930596100784	40.1380254652178	0.00213257951641069	0.00257401395534939	2.76745488256936e-09
HELIUM	2023.05.15	13:26:45	2023.05.15	13:29:48	313.003075984466	0.017521054312028	40.1390582872716	0.000836535306853726	0.00257400891655816	2.91960623598007e-09
HELIUM	2023.05.16	11:01:50	2023.05.16	11:04:53	312.99199485053	0.0147276434880327	59.9631817434455	0.00267185662242791	0.00257572588161892	2.9858637463449e-09
HELIUM	2023.05.16	11:04:54	2023.05.16	11:07:59	313.018855657752	0.0102408595290533	59.9646413293403	0.00276396808412842	0.00257573155924479	2.64089810797235e-09
HELIUM	2023.05.16	11:08:00	2023.05.16	11:11:03	313.013992218175	0.00745241292370314	59.9658528141606	0.00288404134640843	0.00257573125135634	1.92127314435045e-09
HELIUM	2023.05.16	12:37:42	2023.05.16	12:40:44	313.016162512455	0.00785416291699672	80.3248136542404	0.00288969710558229	0.00257731115451389	2.13282110048813e-09
HELIUM	2023.05.16	12:40:45	2023.05.16	12:43:49	313.005395619889	0.00908205911033374	80.3231697855113	0.00313993526042011	0.00257730960286458	2.3387834985026e-09
HELIUM	2023.05.16	12:43:50	2023.05.16	12:46:53	313.01697284825	0.00725492500488271	80.3238517640361	0.00351462026071545	0.00257731061604818	2.6491911639948e-09
HELIUM	2023.05.16	13:06:03	2023.05.16	13:09:08	313.024802827358	0.00617289717434962	96.3842647420488	0.00357062114477695	0.0025784522298177	2.06693521623839e-09
HELIUM	2023.05.16	13:09:09	2023.05.16	13:12:12	313.008140919736	0.0160655305920542	96.3824867598306	0.00369837617608896	0.00257845035536025	3.6791479626044e-09
HELIUM	2023.05.16	13:12:13	2023.05.16	13:15:16	313.012387053004	0.00954952479643714	96.3810796399276	0.00291001265500074	0.0025784495171441	2.30986691550758e-09
HELIUM	2023.05.22	12:24:26	2023.05.22	12:27:29	362.35921010746	0.0307683892849846	40.0792726145874	0.00298344961108137	0.00259063683403863	4.5474647453151e-09
HELIUM	2023.05.22	12:27:30	2023.05.22	12:30:33	362.353633114794	0.0297291414094814	40.082233586117	0.0022745337732566	0.00259063563774956	5.02073602890388e-09
HELIUM	2023.05.22	12:30:34	2023.05.22	12:33:38	362.350740179273	0.0292284852890214	40.0866837252119	0.00263068471447047	0.00259063496771919	5.10966921370031e-09
HELIUM	2023.05.22	12:43:49	2023.05.22	12:46:55	362.369678741773	0.0263862872280961	60.451005508363	0.00239716809425855	0.00259227880181206	5.14891902994763e-09
HELIUM	2023.05.22	12:46:56	2023.05.22	12:49:59	362.375969661963	0.0225716763036299	60.4564221104193	0.00249822521686868	0.00259227441134982	4.73722575566533e-09
HELIUM	2023.05.22	12:50:00	2023.05.22	12:53:04	362.367907496272	0.0269003260776785	60.4568877907047	0.00191671334563326	0.00259227349717882	4.26772336461052e-09
HELIUM	2023.05.22	13:03:29	2023.05.22	13:06:32	362.402235193628	0.0102871163906475	80.1677803392624	0.00363550729710244	0.0025937166015625	4.26684766629008e-09
HELIUM	2023.05.22	13:06:33	2023.05.22	13:09:37	362.40177591734	0.0082635209373181	80.1707532008487	0.00262444458075104	0.00259372127549913	2.12246568769066e-09
HELIUM	2023.05.22	13:09:38	2023.05.22	13:12:42	362.359107064036	0.0272917582973294	80.1710941928862	0.00324703516804429	0.00259370932210286	4.56995097523959e-09
HELIUM	2023.05.22	13:21:33	2023.05.22	13:24:35	362.39469659242	0.0128760613173325	100.034767511608	0.00388896692560947	0.00259504681939019	2.52070269407023e-09
HELIUM	2023.05.22	13:24:36	2023.05.22	13:27:38	362.370437049871	0.028573752938302	100.03464976214	0.00367790314057	0.00259504097900391	4.83253034787876e-09
HELIUM	2023.05.22	13:27:39	2023.05.22	13:30:43	362.380603909978	0.0325993590916402	100.039484855346	0.00353280022697031	0.00259503722059462	6.78657665294042e-09
HELIUM	2023.05.23	12:11:34	2023.05.23	12:14:37	362.388432773963	0.00706647184048551	20.171815327166	0.00182114913579339	0.00258885672200521	1.9900115362912e-09
HELIUM	2023.05.23	12:14:38	2023.05.23	12:17:41	362.377593480279	0.00729765976830847	20.1704603108307	0.00161056495633228	0.00258885325656467	2.18475228534526e-09
HELIUM	2023.05.23	12:17:43	2023.05.23	12:20:46	362.340208624364	0.0301699432160894	20.1718770491197	0.00281119126375369	0.00258884347059462	6.52572621906542e-09
HELIUM	2023.05.23	17:07:26	2023.05.23	17:10:31	411.920031459459	0.0142157355821506	80.0788953340285	0.00324136404244184	0.00261109396972656	2.52878348452312e-09
HELIUM	2023.05.23	17:10:32	2023.05.23	17:13:36	411.914066574898	0.0297246145416674	80.0813267032452	0.00262186393348675	0.00261109403618706	5.22712057516199e-09
HELIUM	2023.05.23	17:13:37	2023.05.23	17:16:40	411.922703085397	0.0175133622375244	80.0835840534943	0.00312951224934969	0.00261109120551215	4.37501086269897e-09
HELIUM	2023.05.23	17:51:07	2023.05.23	17:54:10	411.883394758512	0.0171765663071714	91.1019978321563	0.00433926849186133	0.00261179238009983	2.662545639046e-09
HELIUM	2023.05.23	17:54:11	2023.05.23	17:57:15	411.932730036384	0.0239514439124847	91.1000275710228	0.00309156224342266	0.00261180479600694	5.18743488614892e-09
HELIUM	2023.05.23	17:57:16	2023.05.23	18:00:19	411.957098611707	0.0148439619594831	91.1001710697919	0.003723986216798	0.00261181457790798	3.46475125384935e-09
