Fluid	StartDate	StartTime	EndDate	EndTime	T	dT	p	dp	tau	dtau
WATER	2023.04.26	10:50:36	2023.04.26	10:53:38	298.319864503211	0.00862630443980292	0.118598251147785	0.0015530257121779	0.00263952878146701	2.33258033016969e-09
WATER	2023.04.26	10:53:39	2023.04.26	10:56:41	298.326370107857	0.00516436881499396	0.117607619563612	0.00140593707371715	0.00263952891981337	1.88693134498836e-09
WATER	2023.04.26	10:56:42	2023.04.26	10:59:45	298.320641759785	0.0110090272640609	0.117085094784254	0.00131335515080628	0.00263952838541667	2.61112469758395e-09
WATER	2023.04.26	11:47:16	2023.04.26	11:50:20	298.322361796502	0.00522974270645291	1.01946751729638	0.00163661908259869	0.00263956578640408	1.99451827689599e-09
WATER	2023.04.26	11:50:21	2023.04.26	11:53:25	298.31655068165	0.0115629671938166	1.01700162234796	0.00168039673467228	0.00263956382107205	2.47227948922625e-09
WATER	2023.04.26	11:53:26	2023.04.26	11:56:29	298.327385871642	0.00817751938527841	1.01598470753922	0.00133823545989371	0.00263956546088325	2.22385721851999e-09
WATER	2023.04.26	14:18:23	2023.04.26	14:21:27	298.318521864002	0.0117717654426497	20.0656536295797	0.00184589741877147	0.00264033815917969	2.55511381677315e-09
WATER	2023.04.26	14:21:28	2023.04.26	14:24:31	298.329827054392	0.00628784760545781	20.0644882058939	0.00155500090883904	0.0026403387234158	2.5932338232192e-09
WATER	2023.04.26	14:24:32	2023.04.26	14:27:35	298.323592213724	0.00777559070723416	20.064552472585	0.00220289824425471	0.00264033916693793	2.20004179099489e-09
WATER	2023.04.27	07:36:55	2023.04.27	07:39:58	298.323672179693	0.00593573534067611	40.0702673594582	0.00238983844135643	0.00264113667534722	2.05500431140471e-09
WATER	2023.04.27	07:39:59	2023.04.27	07:43:02	298.326617031221	0.00438509533753882	40.069579287994	0.00204672949694234	0.00264113768717448	2.00193981660463e-09
WATER	2023.04.27	07:43:03	2023.04.27	07:46:06	298.32609231716	0.00472013524174085	40.0711328426882	0.00220775832806568	0.00264113697509766	2.03548653266633e-09
WATER	2023.04.27	09:08:33	2023.04.27	09:11:36	298.324459249864	0.00531121050193168	60.1034845677312	0.00267963846976613	0.00264190018310547	2.23988752144444e-09
WATER	2023.04.27	09:11:37	2023.04.27	09:14:40	298.317027686687	0.00943477386626806	60.1031934769675	0.00274447062031605	0.00264189940456814	2.59163789015987e-09
WATER	2023.04.27	09:14:41	2023.04.27	09:17:44	298.322583467498	0.00548632308137707	60.1022648853598	0.00318082264857216	0.00264189947916667	2.12015470800419e-09
WATER	2023.04.27	10:25:53	2023.04.27	10:28:57	298.320505661143	0.00751190900675371	80.0652427595638	0.00299302474387426	0.00264265382758247	2.07777400450969e-09
WATER	2023.04.27	10:28:58	2023.04.27	10:32:01	298.320693655085	0.00480919626140325	80.0633018353397	0.00281739991893694	0.00264265311821832	1.86233136338613e-09
WATER	2023.04.27	10:32:02	2023.04.27	10:35:05	298.312532555337	0.00968891465020746	80.0610069517402	0.00366681872987175	0.00264265198296441	2.31057318609056e-09
WATER	2023.04.27	13:45:37	2023.04.27	13:48:40	298.32034571855	0.00596520219503685	80.2269312578651	0.00303240204112686	0.00264266511501736	2.14462273106611e-09
