Pt.	Date	Time	RT/s	R/Omiga	
	1	2018_02_13	16_52_13	0	104.50541
	2	2018_02_13	16_52_23	10	104.54312
	3	2018_02_13	16_52_33	20	104.57997
	4	2018_02_13	16_52_43	30	104.61707
	5	2018_02_13	16_52_53	40	104.65477
	6	2018_02_13	16_53_03	50	104.69284
	7	2018_02_13	16_53_13	60	104.73063
	8	2018_02_13	16_53_23	70	104.76893
	9	2018_02_13	16_53_33	80	104.8062
	10	2018_02_13	16_53_43	90	104.84359
	11	2018_02_13	16_53_53	100	104.88018
	12	2018_02_13	16_54_03	110	104.91768
	13	2018_02_13	16_54_13	120	104.95404
	14	2018_02_13	16_54_23	130	104.99061
	15	2018_02_13	16_54_33	140	105.02611
	16	2018_02_13	16_54_43	150	105.06147
	17	2018_02_13	16_54_53	160	105.09707
	18	2018_02_13	16_55_03	170	105.13196
	19	2018_02_13	16_55_13	180	105.16626
	20	2018_02_13	16_55_23	190	105.19983
	21	2018_02_13	16_55_33	200	105.23313
	22	2018_02_13	16_55_43	210	105.26617
	23	2018_02_13	16_55_53	220	105.29871
	24	2018_02_13	16_56_03	230	105.33122
	25	2018_02_13	16_56_13	240	105.36297
	26	2018_02_13	16_56_23	250	105.39419
	27	2018_02_13	16_56_33	260	105.425
	28	2018_02_13	16_56_43	270	105.45557
	29	2018_02_13	16_56_53	280	105.48541
	30	2018_02_13	16_57_03	290	105.51519
	31	2018_02_13	16_57_13	300	105.54394
	32	2018_02_13	16_57_23	310	105.57301
	33	2018_02_13	16_57_33	320	105.60118
	34	2018_02_13	16_57_43	330	105.62908
	35	2018_02_13	16_57_53	340	105.6571
	36	2018_02_13	16_58_03	350	105.6842
	37	2018_02_13	16_58_13	360	105.71111
	38	2018_02_13	16_58_23	370	105.73719
	39	2018_02_13	16_58_33	380	105.76303
	40	2018_02_13	16_58_43	390	105.78911
	41	2018_02_13	16_58_53	400	105.81419
	42	2018_02_13	16_59_03	410	105.83918
	43	2018_02_13	16_59_13	420	105.86385
	44	2018_02_13	16_59_23	430	105.88811
	45	2018_02_13	16_59_33	440	105.91169
	46	2018_02_13	16_59_43	450	105.93569
	47	2018_02_13	16_59_53	460	105.9583
	48	2018_02_13	17_00_03	470	105.98136
	49	2018_02_13	17_00_13	480	106.00359
	50	2018_02_13	17_00_23	490	106.02541
	51	2018_02_13	17_00_33	500	106.04729
	52	2018_02_13	17_00_43	510	106.06902
	53	2018_02_13	17_00_53	520	106.08973
	54	2018_02_13	17_01_03	530	106.11043
	55	2018_02_13	17_01_13	540	106.13114
	56	2018_02_13	17_01_23	550	106.15128
	57	2018_02_13	17_01_33	560	106.17114
	58	2018_02_13	17_01_43	570	106.19122
	59	2018_02_13	17_01_53	580	106.21061
	60	2018_02_13	17_02_03	590	106.22973
	61	2018_02_13	17_02_13	600	106.24835
	62	2018_02_13	17_02_23	610	106.26667
	63	2018_02_13	17_02_33	620	106.28559
	64	2018_02_13	17_02_43	630	106.30318
	65	2018_02_13	17_02_53	640	106.3208
	66	2018_02_13	17_03_03	650	106.33821
	67	2018_02_13	17_03_13	660	106.35528
	68	2018_02_13	17_03_23	670	106.37181
	69	2018_02_13	17_03_33	680	106.3892
	70	2018_02_13	17_03_43	690	106.40591
	71	2018_02_13	17_03_53	700	106.42224
	72	2018_02_13	17_04_03	710	106.43795
	73	2018_02_13	17_04_13	720	106.45404
	74	2018_02_13	17_04_23	730	106.46976
	75	2018_02_13	17_04_33	740	106.48526
	76	2018_02_13	17_04_43	750	106.50095
	77	2018_02_13	17_04_53	760	106.51584
	78	2018_02_13	17_05_03	770	106.53049
	79	2018_02_13	17_05_13	780	106.54485
	80	2018_02_13	17_05_23	790	106.55992
	81	2018_02_13	17_05_33	800	106.57393
	82	2018_02_13	17_05_43	810	106.58776
	83	2018_02_13	17_05_53	820	106.60147
	84	2018_02_13	17_06_03	830	106.61487
	85	2018_02_13	17_06_13	840	106.62855
	86	2018_02_13	17_06_23	850	106.6423
	87	2018_02_13	17_06_33	860	106.65566
	88	2018_02_13	17_06_43	870	106.66835
	89	2018_02_13	17_06_53	880	106.68089
	90	2018_02_13	17_07_03	890	106.69352
	91	2018_02_13	17_07_13	900	106.70553
	92	2018_02_13	17_07_23	910	106.71819
	93	2018_02_13	17_07_33	920	106.73023
	94	2018_02_13	17_07_43	930	106.74159
	95	2018_02_13	17_07_53	940	106.75334
	96	2018_02_13	17_08_03	950	106.76488
	97	2018_02_13	17_08_13	960	106.77631
	98	2018_02_13	17_08_23	970	106.78776
	99	2018_02_13	17_08_33	980	106.79886
	100	2018_02_13	17_08_43	990	106.80964
	101	2018_02_13	17_08_53	1000	106.8203
	102	2018_02_13	17_09_03	1010	106.83102
	103	2018_02_13	17_09_13	1020	106.8415
	104	2018_02_13	17_09_23	1030	106.85193
	105	2018_02_13	17_09_33	1040	106.86171
	106	2018_02_13	17_09_43	1050	106.87217
	107	2018_02_13	17_09_53	1060	106.88192
	108	2018_02_13	17_10_03	1070	106.89208
	109	2018_02_13	17_10_13	1080	106.9015
	110	2018_02_13	17_10_23	1090	106.91055
	111	2018_02_13	17_10_33	1100	106.92024
	112	2018_02_13	17_10_43	1110	106.92896
	113	2018_02_13	17_10_53	1120	106.93833
	114	2018_02_13	17_11_03	1130	106.94741
	115	2018_02_13	17_11_13	1140	106.95663
	116	2018_02_13	17_11_23	1150	106.96474
	117	2018_02_13	17_11_33	1160	106.97308
	118	2018_02_13	17_11_43	1170	106.98197
	119	2018_02_13	17_11_53	1180	106.99008
	120	2018_02_13	17_12_03	1190	106.99863
	121	2018_02_13	17_12_13	1200	107.00659
	122	2018_02_13	17_12_23	1210	107.01422
	123	2018_02_13	17_12_33	1220	107.02256
	124	2018_02_13	17_12_43	1230	107.03023
	125	2018_02_13	17_12_53	1240	107.03775
	126	2018_02_13	17_13_03	1250	107.04526
	127	2018_02_13	17_13_13	1260	107.05331
	128	2018_02_13	17_13_23	1270	107.06027
	129	2018_02_13	17_13_33	1280	107.06697
	130	2018_02_13	17_13_43	1290	107.07484
	131	2018_02_13	17_13_53	1300	107.08206
	132	2018_02_13	17_14_03	1310	107.08882
	133	2018_02_13	17_14_13	1320	107.09554
	134	2018_02_13	17_14_23	1330	107.1025
	135	2018_02_13	17_14_33	1340	107.10908
	136	2018_02_13	17_14_43	1350	107.11616
	137	2018_02_13	17_14_53	1360	107.12271
	138	2018_02_13	17_15_03	1370	107.12894
	139	2018_02_13	17_15_13	1380	107.1351
	140	2018_02_13	17_15_23	1390	107.14142
	141	2018_02_13	17_15_33	1400	107.14838
	142	2018_02_13	17_15_43	1410	107.15422
	143	2018_02_13	17_15_53	1420	107.16013
