Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_02_14  10_01_20     1.0     107.639240
    2  2018_02_14  10_01_30    11.0     107.639420
    3  2018_02_14  10_01_40    21.0     107.639630
    4  2018_02_14  10_01_50    31.0     107.639570
    5  2018_02_14  10_02_00    41.0     107.639890
    6  2018_02_14  10_02_10    51.0     107.639740
    7  2018_02_14  10_02_20    61.0     107.640270
    8  2018_02_14  10_02_30    71.0     107.640300
    9  2018_02_14  10_02_40    81.0     107.639950
   10  2018_02_14  10_02_50    91.0     107.639920
   11  2018_02_14  10_03_00   101.0     107.640480
   12  2018_02_14  10_03_10   111.0     107.640130
   13  2018_02_14  10_03_20   121.0     107.640420
   14  2018_02_14  10_03_30   131.0     107.640570
   15  2018_02_14  10_03_40   141.0     107.640600
   16  2018_02_14  10_03_50   151.0     107.640070
   17  2018_02_14  10_04_00   161.0     107.640600
   18  2018_02_14  10_04_10   171.0     107.641570
   19  2018_02_14  10_04_20   181.0     107.642650
   20  2018_02_14  10_04_30   191.0     107.642970
   21  2018_02_14  10_04_40   201.0     107.643800
   22  2018_02_14  10_04_50   211.0     107.644030
   23  2018_02_14  10_05_00   221.0     107.644590
   24  2018_02_14  10_05_10   231.0     107.644500
   25  2018_02_14  10_05_20   241.0     107.644000
   26  2018_02_14  10_05_30   251.0     107.644180
   27  2018_02_14  10_05_40   261.0     107.644620
   28  2018_02_14  10_05_50   271.0     107.644620
   29  2018_02_14  10_06_00   281.0     107.644410
   30  2018_02_14  10_06_10   291.0     107.644060
   31  2018_02_14  10_06_20   301.0     107.644150
   32  2018_02_14  10_06_30   311.0     107.644180
   33  2018_02_14  10_06_40   321.0     107.643860
   34  2018_02_14  10_06_50   331.0     107.644030
   35  2018_02_14  10_07_00   341.0     107.643860
   36  2018_02_14  10_07_10   351.0     107.643680
   37  2018_02_14  10_07_20   361.0     107.643470
   38  2018_02_14  10_07_30   371.0     107.643300
   39  2018_02_14  10_07_40   381.0     107.643620
   40  2018_02_14  10_07_50   391.0     107.643860
   41  2018_02_14  10_08_00   401.0     107.643470
   42  2018_02_14  10_08_10   411.0     107.643390
   43  2018_02_14  10_08_20   421.0     107.643060
   44  2018_02_14  10_08_30   431.0     107.643120
   45  2018_02_14  10_08_40   441.0     107.642800
   46  2018_02_14  10_08_50   451.0     107.643180
   47  2018_02_14  10_09_00   461.0     107.642770
   48  2018_02_14  10_09_10   471.0     107.643090
   49  2018_02_14  10_09_20   481.0     107.642710
   50  2018_02_14  10_09_30   491.0     107.643150
   51  2018_02_14  10_09_40   501.0     107.643210
   52  2018_02_14  10_09_50   511.0     107.642950
   53  2018_02_14  10_10_00   521.0     107.642420
   54  2018_02_14  10_10_10   531.0     107.642420
   55  2018_02_14  10_10_20   541.0     107.642890
   56  2018_02_14  10_10_30   551.0     107.642830
   57  2018_02_14  10_10_40   561.0     107.642530
   58  2018_02_14  10_10_50   571.0     107.642150
   59  2018_02_14  10_11_00   581.0     107.642090
   60  2018_02_14  10_11_10   591.0     107.642710
   61  2018_02_14  10_11_20   601.0     107.642270
   62  2018_02_14  10_11_30   611.0     107.642180
   63  2018_02_14  10_11_40   621.0     107.642150
   64  2018_02_14  10_11_50   631.0     107.642010
   65  2018_02_14  10_12_00   641.0     107.641890
   66  2018_02_14  10_12_10   651.0     107.641770
   67  2018_02_14  10_12_20   661.0     107.641860
   68  2018_02_14  10_12_30   671.0     107.641570
   69  2018_02_14  10_12_40   681.0     107.641770
   70  2018_02_14  10_12_50   691.0     107.641680
   71  2018_02_14  10_13_00   701.0     107.641240
   72  2018_02_14  10_13_10   711.0     107.641540
   73  2018_02_14  10_13_20   721.0     107.641240
   74  2018_02_14  10_13_30   731.0     107.641450
   75  2018_02_14  10_13_40   741.0     107.641180
   76  2018_02_14  10_13_50   751.0     107.641710
   77  2018_02_14  10_14_00   761.0     107.641450
   78  2018_02_14  10_14_10   771.0     107.641770
   79  2018_02_14  10_14_20   781.0     107.641100
   80  2018_02_14  10_14_30   791.0     107.641270
   81  2018_02_14  10_14_40   801.0     107.641330
   82  2018_02_14  10_14_50   811.0     107.641270
   83  2018_02_14  10_15_00   821.0     107.641240
   84  2018_02_14  10_15_10   831.0     107.641770
   85  2018_02_14  10_15_20   841.0     107.641120
   86  2018_02_14  10_15_30   851.0     107.641480
   87  2018_02_14  10_15_40   861.0     107.641300
   88  2018_02_14  10_15_50   871.0     107.641540
   89  2018_02_14  10_16_00   881.0     107.641570
   90  2018_02_14  10_16_10   891.0     107.641680
   91  2018_02_14  10_16_20   901.0     107.641390
   92  2018_02_14  10_16_30   911.0     107.641300
   93  2018_02_14  10_16_40   921.0     107.641620
   94  2018_02_14  10_16_50   931.0     107.642030
   95  2018_02_14  10_17_00   941.0     107.641800
   96  2018_02_14  10_17_10   951.0     107.641980
   97  2018_02_14  10_17_20   961.0     107.641860
   98  2018_02_14  10_17_30   971.0     107.642120
   99  2018_02_14  10_17_40   981.0     107.641950
  100  2018_02_14  10_17_50   991.0     107.642120
  101  2018_02_14  10_18_00  1001.0     107.642300
  102  2018_02_14  10_18_10  1011.0     107.641890
  103  2018_02_14  10_18_20  1021.0     107.641860
  104  2018_02_14  10_18_30  1031.0     107.642120
  105  2018_02_14  10_18_40  1041.0     107.642120
  106  2018_02_14  10_18_50  1051.0     107.642210
  107  2018_02_14  10_19_00  1061.0     107.642120
  108  2018_02_14  10_19_10  1071.0     107.641860
  109  2018_02_14  10_19_20  1081.0     107.642270
  110  2018_02_14  10_19_30  1091.0     107.642120
  111  2018_02_14  10_19_40  1101.0     107.642270
  112  2018_02_14  10_19_50  1111.0     107.642030
  113  2018_02_14  10_20_00  1121.0     107.642030
  114  2018_02_14  10_20_10  1131.0     107.641570
  115  2018_02_14  10_20_20  1141.0     107.642450
  116  2018_02_14  10_20_30  1151.0     107.642390
  117  2018_02_14  10_20_40  1161.0     107.642010
  118  2018_02_14  10_20_50  1171.0     107.641510
  119  2018_02_14  10_21_00  1181.0     107.641920
  120  2018_02_14  10_21_10  1191.0     107.641890
  121  2018_02_14  10_21_20  1201.0     107.642180
  122  2018_02_14  10_21_30  1211.0     107.642060
  123  2018_02_14  10_21_40  1221.0     107.642390
  124  2018_02_14  10_21_50  1231.0     107.641890
  125  2018_02_14  10_22_00  1241.0     107.642240
  126  2018_02_14  10_22_10  1251.0     107.641710
  127  2018_02_14  10_22_20  1261.0     107.641680
  128  2018_02_14  10_22_30  1271.0     107.642150
  129  2018_02_14  10_22_40  1281.0     107.641950
  130  2018_02_14  10_22_50  1291.0     107.641830
  131  2018_02_14  10_23_00  1301.0     107.641450
  132  2018_02_14  10_23_10  1311.0     107.641890
  133  2018_02_14  10_23_20  1321.0     107.641830
  134  2018_02_14  10_23_30  1331.0     107.641920
  135  2018_02_14  10_23_40  1341.0     107.642120
  136  2018_02_14  10_23_50  1351.0     107.641710
  137  2018_02_14  10_24_00  1361.0     107.641680
  138  2018_02_14  10_24_10  1371.0     107.642090
  139  2018_02_14  10_24_20  1381.0     107.641920
  140  2018_02_14  10_24_30  1391.0     107.642030
  141  2018_02_14  10_24_40  1401.0     107.641680
  142  2018_02_14  10_24_50  1411.0     107.641680
  143  2018_02_14  10_25_00  1421.0     107.642240
  144  2018_02_14  10_25_10  1431.0     107.642210
  145  2018_02_14  10_25_20  1441.0     107.641740
  146  2018_02_14  10_25_30  1451.0     107.641450
  147  2018_02_14  10_25_40  1461.0     107.641540
  148  2018_02_14  10_25_50  1471.0     107.641240
  149  2018_02_14  10_26_00  1481.0     107.641570
  150  2018_02_14  10_26_10  1491.0     107.641590
  151  2018_02_14  10_26_20  1501.0     107.641800
  152  2018_02_14  10_26_30  1511.0     107.641710
  153  2018_02_14  10_26_40  1521.0     107.641740
  154  2018_02_14  10_26_50  1531.0     107.641890
  155  2018_02_14  10_27_00  1541.0     107.642180
  156  2018_02_14  10_27_10  1551.0     107.641770
  157  2018_02_14  10_27_20  1561.0     107.641920
  158  2018_02_14  10_27_30  1571.0     107.641860
  159  2018_02_14  10_27_40  1581.0     107.642060
  160  2018_02_14  10_27_50  1591.0     107.642090
  161  2018_02_14  10_28_00  1601.0     107.642060
  162  2018_02_14  10_28_10  1611.0     107.641950
  163  2018_02_14  10_28_20  1621.0     107.641680
  164  2018_02_14  10_28_30  1631.0     107.641740
  165  2018_02_14  10_28_40  1641.0     107.641540
  166  2018_02_14  10_28_50  1651.0     107.642060
  167  2018_02_14  10_29_00  1661.0     107.642030
  168  2018_02_14  10_29_10  1671.0     107.641360
  169  2018_02_14  10_29_20  1681.0     107.641540
  170  2018_02_14  10_29_30  1691.0     107.641800
  171  2018_02_14  10_29_40  1701.0     107.641920
  172  2018_02_14  10_29_50  1711.0     107.642010
  173  2018_02_14  10_30_00  1721.0     107.641590
  174  2018_02_14  10_30_10  1731.0     107.641770
  175  2018_02_14  10_30_20  1741.0     107.641590
  176  2018_02_14  10_30_30  1751.0     107.641330
  177  2018_02_14  10_30_40  1761.0     107.641570
  178  2018_02_14  10_30_50  1771.0     107.641510
  179  2018_02_14  10_31_00  1781.0     107.641650
  180  2018_02_14  10_31_10  1791.0     107.640920
  181  2018_02_14  10_31_20  1801.0     107.641100
  182  2018_02_14  10_31_30  1811.0     107.641180
  183  2018_02_14  10_31_40  1821.0     107.641540
  184  2018_02_14  10_31_50  1831.0     107.640950
  185  2018_02_14  10_32_00  1841.0     107.640600
  186  2018_02_14  10_32_10  1851.0     107.640890
  187  2018_02_14  10_32_20  1861.0     107.640710
  188  2018_02_14  10_32_30  1871.0     107.640980
  189  2018_02_14  10_32_40  1881.0     107.640860
  190  2018_02_14  10_32_50  1891.0     107.640450
  191  2018_02_14  10_33_00  1901.0     107.640710
  192  2018_02_14  10_33_10  1911.0     107.640600
  193  2018_02_14  10_33_20  1921.0     107.640600
  194  2018_02_14  10_33_30  1931.0     107.640740
  195  2018_02_14  10_33_40  1941.0     107.640240
  196  2018_02_14  10_33_50  1951.0     107.640450
  197  2018_02_14  10_34_00  1961.0     107.640650
  198  2018_02_14  10_34_10  1971.0     107.640740
  199  2018_02_14  10_34_20  1981.0     107.640770
  200  2018_02_14  10_34_30  1991.0     107.640740
