Timestamp	System State	Line State	Temperature	Temperature °F	Pressure AI	Density DMA HPM	Period	Density API 20 °C	API 20 °C	Spec.Grav.20/15.56°C	Density API 15 °C	API 15 °C	Spec.Grav.15/15.56°C	Generic AI 1	Periode (Raw)	Inline Pump Error	Density 15.56 °C	API 15.56 °C	Spec.Grav.15.56/15.56°C	Calibration DI	Flowstop	Hold
			°C	°F	bar	kg/m³	s	kg/m³	-	-	kg/m³	-	-	-	s	-	kg/m³	-	-	-	-	-
4/11/2018 8:36:19 AM	Error	Error	10.31	50.55	353.02	0.00	0.002628556	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628556	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:36:29 AM	Error	Error	10.31	50.55	352.93	0.00	0.002628547	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628547	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:36:39 AM	Error	Error	10.30	50.55	352.97	0.00	0.002628540	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628540	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:36:49 AM	Error	Error	10.30	50.54	352.97	0.00	0.002628533	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628533	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:36:59 AM	Error	Error	10.30	50.54	353.02	0.00	0.002628524	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628524	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:37:09 AM	Error	Error	10.30	50.53	352.93	0.00	0.002628520	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628520	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:37:19 AM	Error	Error	10.29	50.53	352.97	0.00	0.002628516	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628516	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:37:29 AM	Error	Error	10.29	50.52	353.02	0.00	0.002628517	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628517	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:37:39 AM	Error	Error	10.29	50.52	352.89	0.00	0.002628507	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628507	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:37:49 AM	Error	Error	10.29	50.52	352.93	0.00	0.002628506	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628506	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:37:59 AM	Error	Error	10.28	50.51	352.89	0.00	0.002628502	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628502	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:38:09 AM	Error	Error	10.28	50.51	352.97	0.00	0.002628498	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628498	inactive	0.00	0.00	0.00000	inactive	0	0
4/11/2018 8:38:19 AM	Error	Error	10.28	50.50	352.93	0.00	0.002628493	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002628493	inactive	0.00	0.00	0.00000	inactive	0	0
