Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_04_13  11_47_51     0.0     119.772810
    2  2018_04_13  11_48_01    10.0     119.974420
    3  2018_04_13  11_48_11    20.0     120.181000
    4  2018_04_13  11_48_21    30.0     120.386500
    5  2018_04_13  11_48_31    40.0     120.593100
    6  2018_04_13  11_48_41    50.0     120.799400
    7  2018_04_13  11_48_51    60.0     121.006800
    8  2018_04_13  11_49_01    70.0     121.212800
    9  2018_04_13  11_49_11    80.0     121.416500
   10  2018_04_13  11_49_21    90.0     121.617800
   11  2018_04_13  11_49_31   100.0     121.816400
   12  2018_04_13  11_49_41   110.0     122.012200
   13  2018_04_13  11_49_51   120.0     122.205500
   14  2018_04_13  11_50_01   130.0     122.392100
   15  2018_04_13  11_50_11   140.0     122.574900
   16  2018_04_13  11_50_21   150.0     122.753000
   17  2018_04_13  11_50_31   160.0     122.925800
   18  2018_04_13  11_50_41   170.0     123.096500
   19  2018_04_13  11_50_51   180.0     123.258200
   20  2018_04_13  11_51_01   190.0     123.416300
   21  2018_04_13  11_51_11   200.0     123.568800
   22  2018_04_13  11_51_21   210.0     123.713900
   23  2018_04_13  11_51_31   220.0     123.854400
   24  2018_04_13  11_51_41   230.0     123.991100
   25  2018_04_13  11_51_51   240.0     124.121300
   26  2018_04_13  11_52_01   250.0     124.245600
   27  2018_04_13  11_52_11   260.0     124.365200
   28  2018_04_13  11_52_21   270.0     124.479200
   29  2018_04_13  11_52_31   280.0     124.589100
   30  2018_04_13  11_52_41   290.0     124.694000
   31  2018_04_13  11_52_51   300.0     124.793900
   32  2018_04_13  11_53_01   310.0     124.890000
   33  2018_04_13  11_53_11   320.0     124.980800
   34  2018_04_13  11_53_21   330.0     125.068100
   35  2018_04_13  11_53_31   340.0     125.151000
   36  2018_04_13  11_53_41   350.0     125.232100
   37  2018_04_13  11_53_51   360.0     125.307300
   38  2018_04_13  11_54_01   370.0     125.379300
   39  2018_04_13  11_54_11   380.0     125.447500
   40  2018_04_13  11_54_21   390.0     125.513900
   41  2018_04_13  11_54_31   400.0     125.576800
   42  2018_04_13  11_54_41   410.0     125.635600
   43  2018_04_13  11_54_51   420.0     125.693500
   44  2018_04_13  11_55_01   430.0     125.747500
   45  2018_04_13  11_55_11   440.0     125.799800
   46  2018_04_13  11_55_21   450.0     125.848300
   47  2018_04_13  11_55_31   460.0     125.895300
   48  2018_04_13  11_55_41   470.0     125.941200
   49  2018_04_13  11_55_51   480.0     125.983800
   50  2018_04_13  11_56_01   490.0     126.024100
   51  2018_04_13  11_56_11   500.0     126.063400
   52  2018_04_13  11_56_21   510.0     126.101100
   53  2018_04_13  11_56_31   520.0     126.137200
   54  2018_04_13  11_56_41   530.0     126.169500
   55  2018_04_13  11_56_51   540.0     126.201600
   56  2018_04_13  11_57_01   550.0     126.233000
   57  2018_04_13  11_57_11   560.0     126.263000
   58  2018_04_13  11_57_21   570.0     126.291200
   59  2018_04_13  11_57_31   580.0     126.317600
   60  2018_04_13  11_57_41   590.0     126.344100
   61  2018_04_13  11_57_51   600.0     126.368800
   62  2018_04_13  11_58_01   610.0     126.391700
   63  2018_04_13  11_58_11   620.0     126.414600
   64  2018_04_13  11_58_21   630.0     126.436400
   65  2018_04_13  11_58_31   640.0     126.457200
   66  2018_04_13  11_58_41   650.0     126.476900
   67  2018_04_13  11_58_51   660.0     126.496300
   68  2018_04_13  11_59_01   670.0     126.514200
   69  2018_04_13  11_59_11   680.0     126.532200
   70  2018_04_13  11_59_21   690.0     126.548300
   71  2018_04_13  11_59_31   700.0     126.564800
   72  2018_04_13  11_59_41   710.0     126.580900
   73  2018_04_13  11_59_51   720.0     126.595900
   74  2018_04_13  12_00_01   730.0     126.609700
   75  2018_04_13  12_00_11   740.0     126.623000
   76  2018_04_13  12_00_21   750.0     126.637400
   77  2018_04_13  12_00_31   760.0     126.649700
   78  2018_04_13  12_00_41   770.0     126.662000
   79  2018_04_13  12_00_51   780.0     126.674100
   80  2018_04_13  12_01_01   790.0     126.685600
   81  2018_04_13  12_01_11   800.0     126.697300
   82  2018_04_13  12_01_21   810.0     126.707600
   83  2018_04_13  12_01_31   820.0     126.717900
   84  2018_04_13  12_01_41   830.0     126.727600
   85  2018_04_13  12_01_51   840.0     126.736400
   86  2018_04_13  12_02_01   850.0     126.746400
   87  2018_04_13  12_02_11   860.0     126.755500
   88  2018_04_13  12_02_21   870.0     126.763400
   89  2018_04_13  12_02_31   880.0     126.772200
   90  2018_04_13  12_02_41   890.0     126.779900
   91  2018_04_13  12_02_51   900.0     126.788400
   92  2018_04_13  12_03_01   910.0     126.795200
   93  2018_04_13  12_03_11   920.0     126.802800
   94  2018_04_13  12_03_21   930.0     126.809300
   95  2018_04_13  12_03_31   940.0     126.815200
   96  2018_04_13  12_03_41   950.0     126.822500
