Timestamp	System State	Line State	Temperature	Temperature °F	Pressure AI	Density DMA HPM	Period	Density API 20 °C	API 20 °C	Spec.Grav.20/15.56°C	Density API 15 °C	API 15 °C	Spec.Grav.15/15.56°C	Generic AI 1	Periode (Raw)	Inline Pump Error	Density 15.56 °C	API 15.56 °C	Spec.Grav.15.56/15.56°C	Calibration DI	Flowstop	Hold
			°C	°F	bar	kg/m³	s	kg/m³	-	-	kg/m³	-	-	-	s	-	kg/m³	-	-	-	-	-
1/14/2019 1:53:42 PM	Error	Error	40.01	104.02	499.71	0.00	0.002678314	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678314	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:53:52 PM	Error	Error	40.01	104.02	499.75	0.00	0.002678316	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678316	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:54:02 PM	Error	Error	40.01	104.02	499.67	0.00	0.002678319	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678319	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:54:12 PM	Error	Error	40.01	104.02	499.75	0.00	0.002678314	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678314	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:54:22 PM	Error	Error	40.01	104.02	499.75	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:54:32 PM	Error	Error	40.01	104.02	499.80	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:54:42 PM	Error	Error	40.01	104.02	499.75	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:54:52 PM	Error	Error	40.01	104.02	499.80	0.00	0.002678314	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678314	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:55:02 PM	Error	Error	40.01	104.02	499.75	0.00	0.002678322	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678322	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:55:12 PM	Error	Error	40.01	104.02	499.80	0.00	0.002678320	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678320	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:55:22 PM	Error	Error	40.01	104.02	499.80	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:55:32 PM	Error	Error	40.01	104.02	499.75	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:55:42 PM	Error	Error	40.01	104.02	499.84	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:55:52 PM	Error	Error	40.01	104.02	499.71	0.00	0.002678319	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678319	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:56:02 PM	Error	Error	40.01	104.02	499.80	0.00	0.002678316	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678316	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:56:12 PM	Error	Error	40.01	104.02	499.88	0.00	0.002678314	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678314	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:56:22 PM	Error	Error	40.01	104.02	499.84	0.00	0.002678314	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678314	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:56:32 PM	Error	Error	40.01	104.02	499.84	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:56:42 PM	Error	Error	40.01	104.02	499.88	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:56:52 PM	Error	Error	40.01	104.02	499.84	0.00	0.002678316	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678316	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:57:02 PM	Error	Error	40.01	104.02	499.92	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:57:12 PM	Error	Error	40.01	104.02	499.84	0.00	0.002678320	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678320	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:57:22 PM	Error	Error	40.01	104.02	499.84	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:57:32 PM	Error	Error	40.01	104.02	499.88	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:57:42 PM	Error	Error	40.01	104.02	499.88	0.00	0.002678314	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678314	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:57:52 PM	Error	Error	40.01	104.02	499.92	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:58:02 PM	Error	Error	40.01	104.02	500.01	0.00	0.002678322	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678322	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:58:12 PM	Error	Error	40.01	104.02	499.92	0.00	0.002678320	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678320	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:58:22 PM	Error	Error	40.01	104.02	499.92	0.00	0.002678320	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678320	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:58:32 PM	Error	Error	40.01	104.02	499.92	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:58:42 PM	Error	Error	40.01	104.02	499.88	0.00	0.002678319	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678319	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:58:52 PM	Error	Error	40.01	104.02	499.92	0.00	0.002678316	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678316	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:59:02 PM	Error	Error	40.01	104.02	499.88	0.00	0.002678320	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678320	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:59:12 PM	Error	Error	40.01	104.02	500.01	0.00	0.002678320	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678320	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:59:22 PM	Error	Error	40.01	104.02	499.97	0.00	0.002678320	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678320	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:59:32 PM	Error	Error	40.01	104.02	499.97	0.00	0.002678320	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678320	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:59:42 PM	Error	Error	40.01	104.02	499.97	0.00	0.002678319	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678319	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 1:59:52 PM	Error	Error	40.01	104.02	499.97	0.00	0.002678319	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678319	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 2:00:02 PM	Error	Error	40.01	104.02	500.05	0.00	0.002678320	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678320	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 2:00:12 PM	Error	Error	40.01	104.02	499.92	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
1/14/2019 2:00:22 PM	Error	Error	40.01	104.02	500.05	0.00	0.002678317	0.00	0.00	0.00000	0.00	0.00	0.00000	inactive	0.002678317	inactive	0.00	0.00	0.00000	inactive	0	0
