Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_08_29  08_06_27     0.0     103.922610
    2  2018_08_29  08_06_37    10.0     103.922320
    3  2018_08_29  08_06_47    20.0     103.922120
    4  2018_08_29  08_06_57    30.0     103.922350
    5  2018_08_29  08_07_07    40.0     103.922260
    6  2018_08_29  08_07_17    50.0     103.921940
    7  2018_08_29  08_07_27    60.0     103.922350
    8  2018_08_29  08_07_37    70.0     103.922120
    9  2018_08_29  08_07_47    80.0     103.922030
   10  2018_08_29  08_07_57    90.0     103.922500
   11  2018_08_29  08_08_07   100.0     103.922700
   12  2018_08_29  08_08_17   110.0     103.922060
   13  2018_08_29  08_08_27   120.0     103.922030
   14  2018_08_29  08_08_37   130.0     103.922350
   15  2018_08_29  08_08_47   140.0     103.921760
   16  2018_08_29  08_08_57   150.0     103.922410
   17  2018_08_29  08_09_07   160.0     103.922200
   18  2018_08_29  08_09_17   170.0     103.922200
   19  2018_08_29  08_09_27   180.0     103.921790
   20  2018_08_29  08_09_37   190.0     103.922150
   21  2018_08_29  08_09_47   200.0     103.922030
   22  2018_08_29  08_09_57   210.0     103.921820
   23  2018_08_29  08_10_07   220.0     103.921910
   24  2018_08_29  08_10_17   230.0     103.921560
   25  2018_08_29  08_10_27   240.0     103.921790
   26  2018_08_29  08_10_37   250.0     103.921820
   27  2018_08_29  08_10_47   260.0     103.921790
   28  2018_08_29  08_10_57   270.0     103.921500
   29  2018_08_29  08_11_07   280.0     103.921680
   30  2018_08_29  08_11_17   290.0     103.921680
   31  2018_08_29  08_11_27   300.0     103.921470
   32  2018_08_29  08_11_37   310.0     103.921350
   33  2018_08_29  08_11_47   320.0     103.921700
   34  2018_08_29  08_11_57   330.0     103.921290
   35  2018_08_29  08_12_07   340.0     103.921000
   36  2018_08_29  08_12_17   350.0     103.921350
   37  2018_08_29  08_12_27   360.0     103.920820
   38  2018_08_29  08_12_37   370.0     103.921320
   39  2018_08_29  08_12_47   380.0     103.921440
   40  2018_08_29  08_12_57   390.0     103.921320
   41  2018_08_29  08_13_07   400.0     103.920880
   42  2018_08_29  08_13_17   410.0     103.921350
   43  2018_08_29  08_13_27   420.0     103.921530
   44  2018_08_29  08_13_37   430.0     103.920710
   45  2018_08_29  08_13_47   440.0     103.921500
   46  2018_08_29  08_13_57   450.0     103.921230
   47  2018_08_29  08_14_07   460.0     103.921210
   48  2018_08_29  08_14_17   470.0     103.921470
   49  2018_08_29  08_14_27   480.0     103.921470
   50  2018_08_29  08_14_37   490.0     103.921620
   51  2018_08_29  08_14_47   500.0     103.921350
   52  2018_08_29  08_14_57   510.0     103.921290
   53  2018_08_29  08_15_07   520.0     103.921150
   54  2018_08_29  08_15_17   530.0     103.921680
   55  2018_08_29  08_15_27   540.0     103.921590
   56  2018_08_29  08_15_37   550.0     103.922000
   57  2018_08_29  08_15_47   560.0     103.921880
   58  2018_08_29  08_15_57   570.0     103.921530
   59  2018_08_29  08_16_07   580.0     103.922200
   60  2018_08_29  08_16_17   590.0     103.921850
   61  2018_08_29  08_16_27   600.0     103.921760
   62  2018_08_29  08_16_37   610.0     103.922350
   63  2018_08_29  08_16_47   620.0     103.922090
   64  2018_08_29  08_16_57   630.0     103.922230
   65  2018_08_29  08_17_07   640.0     103.922200
   66  2018_08_29  08_17_17   650.0     103.922790
   67  2018_08_29  08_17_27   660.0     103.922470
   68  2018_08_29  08_17_37   670.0     103.922730
   69  2018_08_29  08_17_47   680.0     103.922940
   70  2018_08_29  08_17_57   690.0     103.922260
   71  2018_08_29  08_18_07   700.0     103.922500
   72  2018_08_29  08_18_17   710.0     103.922640
   73  2018_08_29  08_18_27   720.0     103.922700
   74  2018_08_29  08_18_37   730.0     103.922260
   75  2018_08_29  08_18_47   740.0     103.922320
   76  2018_08_29  08_18_57   750.0     103.922410
   77  2018_08_29  08_19_07   760.0     103.921820
