Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_08_31  07_28_10     1.0     111.710650
    2  2018_08_31  07_28_20    11.0     111.710850
    3  2018_08_31  07_28_30    21.0     111.710680
    4  2018_08_31  07_28_40    31.0     111.710970
    5  2018_08_31  07_28_50    41.0     111.710620
    6  2018_08_31  07_29_00    51.0     111.710320
    7  2018_08_31  07_29_10    61.0     111.709970
    8  2018_08_31  07_29_20    71.0     111.710440
    9  2018_08_31  07_29_30    81.0     111.710120
   10  2018_08_31  07_29_40    91.0     111.709680
   11  2018_08_31  07_29_50   101.0     111.709500
   12  2018_08_31  07_30_00   111.0     111.709150
   13  2018_08_31  07_30_10   121.0     111.708530
   14  2018_08_31  07_30_20   131.0     111.707890
   15  2018_08_31  07_30_30   141.0     111.707830
   16  2018_08_31  07_30_40   151.0     111.707480
   17  2018_08_31  07_30_50   161.0     111.707680
   18  2018_08_31  07_31_00   171.0     111.707830
   19  2018_08_31  07_31_10   181.0     111.707860
   20  2018_08_31  07_31_20   191.0     111.708390
   21  2018_08_31  07_31_30   201.0     111.708120
   22  2018_08_31  07_31_40   211.0     111.708650
   23  2018_08_31  07_31_50   221.0     111.708590
   24  2018_08_31  07_32_00   231.0     111.709210
   25  2018_08_31  07_32_10   241.0     111.709120
   26  2018_08_31  07_32_20   251.0     111.709530
   27  2018_08_31  07_32_30   261.0     111.709770
   28  2018_08_31  07_32_40   271.0     111.710180
   29  2018_08_31  07_32_50   281.0     111.709850
   30  2018_08_31  07_33_00   291.0     111.710030
   31  2018_08_31  07_33_10   301.0     111.710350
   32  2018_08_31  07_33_20   311.0     111.710060
   33  2018_08_31  07_33_30   321.0     111.710060
   34  2018_08_31  07_33_40   331.0     111.709970
   35  2018_08_31  07_33_50   341.0     111.709590
   36  2018_08_31  07_34_00   351.0     111.709970
   37  2018_08_31  07_34_10   361.0     111.710090
   38  2018_08_31  07_34_20   371.0     111.710350
   39  2018_08_31  07_34_30   381.0     111.710380
   40  2018_08_31  07_34_40   391.0     111.709970
   41  2018_08_31  07_34_50   401.0     111.710060
   42  2018_08_31  07_35_00   411.0     111.709620
   43  2018_08_31  07_35_10   421.0     111.709800
   44  2018_08_31  07_35_20   431.0     111.709440
   45  2018_08_31  07_35_30   441.0     111.709470
   46  2018_08_31  07_35_40   451.0     111.709500
   47  2018_08_31  07_35_50   461.0     111.709180
   48  2018_08_31  07_36_00   471.0     111.709330
   49  2018_08_31  07_36_10   481.0     111.709240
   50  2018_08_31  07_36_20   491.0     111.709120
   51  2018_08_31  07_36_30   501.0     111.709150
   52  2018_08_31  07_36_40   511.0     111.708590
   53  2018_08_31  07_36_50   521.0     111.708890
   54  2018_08_31  07_37_00   531.0     111.708470
   55  2018_08_31  07_37_10   541.0     111.708680
   56  2018_08_31  07_37_20   551.0     111.708060
   57  2018_08_31  07_37_30   561.0     111.707950
   58  2018_08_31  07_37_40   571.0     111.707740
   59  2018_08_31  07_37_50   581.0     111.706710
   60  2018_08_31  07_38_00   591.0     111.706450
   61  2018_08_31  07_38_10   601.0     111.706240
   62  2018_08_31  07_38_20   611.0     111.706300
   63  2018_08_31  07_38_30   621.0     111.706300
   64  2018_08_31  07_38_40   631.0     111.706040
   65  2018_08_31  07_38_50   641.0     111.705600
   66  2018_08_31  07_39_00   651.0     111.706040
   67  2018_08_31  07_39_10   661.0     111.706360
   68  2018_08_31  07_39_20   671.0     111.706510
   69  2018_08_31  07_39_30   681.0     111.706510
   70  2018_08_31  07_39_40   691.0     111.706570
   71  2018_08_31  07_39_50   701.0     111.706570
   72  2018_08_31  07_40_00   711.0     111.706770
   73  2018_08_31  07_40_10   721.0     111.706240
   74  2018_08_31  07_40_20   731.0     111.705570
   75  2018_08_31  07_40_30   741.0     111.705480
   76  2018_08_31  07_40_40   751.0     111.704950
   77  2018_08_31  07_40_50   761.0     111.704540
   78  2018_08_31  07_41_00   771.0     111.704330
   79  2018_08_31  07_41_10   781.0     111.704040
   80  2018_08_31  07_41_20   791.0     111.703510
   81  2018_08_31  07_41_30   801.0     111.703720
   82  2018_08_31  07_41_40   811.0     111.702690
   83  2018_08_31  07_41_50   821.0     111.702130
   84  2018_08_31  07_42_00   831.0     111.702450
   85  2018_08_31  07_42_10   841.0     111.702190
   86  2018_08_31  07_42_20   851.0     111.701780
   87  2018_08_31  07_42_30   861.0     111.701490
   88  2018_08_31  07_42_40   871.0     111.700780
   89  2018_08_31  07_42_50   881.0     111.700520
   90  2018_08_31  07_43_00   891.0     111.700050
   91  2018_08_31  07_43_10   901.0     111.699720
   92  2018_08_31  07_43_20   911.0     111.699780
   93  2018_08_31  07_43_30   921.0     111.699610
   94  2018_08_31  07_43_40   931.0     111.699550
   95  2018_08_31  07_43_50   941.0     111.699580
   96  2018_08_31  07_44_00   951.0     111.699140
   97  2018_08_31  07_44_10   961.0     111.699370
   98  2018_08_31  07_44_20   971.0     111.699110
   99  2018_08_31  07_44_30   981.0     111.698870
  100  2018_08_31  07_44_40   991.0     111.698490
  101  2018_08_31  07_44_50  1001.0     111.698520
  102  2018_08_31  07_45_00  1011.0     111.697990
  103  2018_08_31  07_45_10  1021.0     111.697990
  104  2018_08_31  07_45_20  1031.0     111.698020
  105  2018_08_31  07_45_30  1041.0     111.697610
  106  2018_08_31  07_45_40  1051.0     111.697550
  107  2018_08_31  07_45_50  1061.0     111.697430
  108  2018_08_31  07_46_00  1071.0     111.697370
  109  2018_08_31  07_46_10  1081.0     111.697520
  110  2018_08_31  07_46_20  1091.0     111.697340
  111  2018_08_31  07_46_30  1101.0     111.697670
  112  2018_08_31  07_46_40  1111.0     111.698370
  113  2018_08_31  07_46_50  1121.0     111.698280
  114  2018_08_31  07_47_00  1131.0     111.699080
  115  2018_08_31  07_47_10  1141.0     111.699580
  116  2018_08_31  07_47_20  1151.0     111.699930
  117  2018_08_31  07_47_30  1161.0     111.700020
  118  2018_08_31  07_47_40  1171.0     111.700660
  119  2018_08_31  07_47_50  1181.0     111.700630
  120  2018_08_31  07_48_00  1191.0     111.700720
  121  2018_08_31  07_48_10  1201.0     111.700280
  122  2018_08_31  07_48_20  1211.0     111.701190
  123  2018_08_31  07_48_30  1221.0     111.701160
  124  2018_08_31  07_48_40  1231.0     111.700960
  125  2018_08_31  07_48_50  1241.0     111.701310
  126  2018_08_31  07_49_00  1251.0     111.701340
  127  2018_08_31  07_49_10  1261.0     111.701160
  128  2018_08_31  07_49_20  1271.0     111.700780
  129  2018_08_31  07_49_30  1281.0     111.700570
  130  2018_08_31  07_49_40  1291.0     111.700520
  131  2018_08_31  07_49_50  1301.0     111.699810
  132  2018_08_31  07_50_00  1311.0     111.699750
  133  2018_08_31  07_50_10  1321.0     111.699550
  134  2018_08_31  07_50_20  1331.0     111.699430
  135  2018_08_31  07_50_30  1341.0     111.699340
  136  2018_08_31  07_50_40  1351.0     111.699280
  137  2018_08_31  07_50_50  1361.0     111.699460
  138  2018_08_31  07_51_00  1371.0     111.698900
  139  2018_08_31  07_51_10  1381.0     111.698900
  140  2018_08_31  07_51_20  1391.0     111.699190
  141  2018_08_31  07_51_30  1401.0     111.698870
  142  2018_08_31  07_51_40  1411.0     111.698720
  143  2018_08_31  07_51_50  1421.0     111.698670
  144  2018_08_31  07_52_00  1431.0     111.698250
  145  2018_08_31  07_52_10  1441.0     111.698310
  146  2018_08_31  07_52_20  1451.0     111.698170
  147  2018_08_31  07_52_30  1461.0     111.698020
  148  2018_08_31  07_52_40  1471.0     111.697490
  149  2018_08_31  07_52_50  1481.0     111.697730
  150  2018_08_31  07_53_00  1491.0     111.697810
  151  2018_08_31  07_53_10  1501.0     111.697730
  152  2018_08_31  07_53_20  1511.0     111.697760
  153  2018_08_31  07_53_30  1521.0     111.697640
  154  2018_08_31  07_53_40  1531.0     111.697900
  155  2018_08_31  07_53_50  1541.0     111.698250
  156  2018_08_31  07_54_00  1551.0     111.698640
  157  2018_08_31  07_54_10  1561.0     111.698310
  158  2018_08_31  07_54_20  1571.0     111.698310
  159  2018_08_31  07_54_30  1581.0     111.698780
  160  2018_08_31  07_54_40  1591.0     111.698930
  161  2018_08_31  07_54_50  1601.0     111.699430
  162  2018_08_31  07_55_00  1611.0     111.699900
  163  2018_08_31  07_55_10  1621.0     111.699750
  164  2018_08_31  07_55_20  1631.0     111.700220
  165  2018_08_31  07_55_30  1641.0     111.700930
  166  2018_08_31  07_55_40  1651.0     111.701070
  167  2018_08_31  07_55_50  1661.0     111.701630
  168  2018_08_31  07_56_00  1671.0     111.702250
  169  2018_08_31  07_56_10  1681.0     111.701810
  170  2018_08_31  07_56_20  1691.0     111.701930
  171  2018_08_31  07_56_30  1701.0     111.702370
  172  2018_08_31  07_56_40  1711.0     111.702370
  173  2018_08_31  07_56_50  1721.0     111.702400
  174  2018_08_31  07_57_00  1731.0     111.702100
  175  2018_08_31  07_57_10  1741.0     111.701750
  176  2018_08_31  07_57_20  1751.0     111.702010
  177  2018_08_31  07_57_30  1761.0     111.701250
  178  2018_08_31  07_57_40  1771.0     111.701130
  179  2018_08_31  07_57_50  1781.0     111.700960
  180  2018_08_31  07_58_00  1791.0     111.700780
  181  2018_08_31  07_58_10  1801.0     111.700160
  182  2018_08_31  07_58_20  1811.0     111.700020
  183  2018_08_31  07_58_30  1821.0     111.700160
  184  2018_08_31  07_58_40  1831.0     111.699430
  185  2018_08_31  07_58_50  1841.0     111.699660
  186  2018_08_31  07_59_00  1851.0     111.699280
  187  2018_08_31  07_59_10  1861.0     111.699870
  188  2018_08_31  07_59_20  1871.0     111.699780
  189  2018_08_31  07_59_30  1881.0     111.699810
  190  2018_08_31  07_59_40  1891.0     111.700080
  191  2018_08_31  07_59_50  1901.0     111.699490
  192  2018_08_31  08_00_00  1911.0     111.700190
  193  2018_08_31  08_00_10  1921.0     111.700310
  194  2018_08_31  08_00_20  1931.0     111.700430
  195  2018_08_31  08_00_30  1941.0     111.700460
  196  2018_08_31  08_00_40  1951.0     111.700780
  197  2018_08_31  08_00_50  1961.0     111.700520
  198  2018_08_31  08_01_00  1971.0     111.699780
  199  2018_08_31  08_01_10  1981.0     111.699780
  200  2018_08_31  08_01_20  1991.0     111.699400
  201  2018_08_31  08_01_30  2001.0     111.699080
  202  2018_08_31  08_01_40  2011.0     111.698490
  203  2018_08_31  08_01_50  2021.0     111.698870
  204  2018_08_31  08_02_00  2031.0     111.698370
  205  2018_08_31  08_02_10  2041.0     111.698840
  206  2018_08_31  08_02_20  2051.0     111.699250
  207  2018_08_31  08_02_30  2061.0     111.699400
  208  2018_08_31  08_02_40  2071.0     111.699490
  209  2018_08_31  08_02_50  2081.0     111.699610
  210  2018_08_31  08_03_00  2091.0     111.700520
  211  2018_08_31  08_03_10  2101.0     111.700130
  212  2018_08_31  08_03_20  2111.0     111.700220
  213  2018_08_31  08_03_30  2121.0     111.700370
  214  2018_08_31  08_03_40  2131.0     111.700370
  215  2018_08_31  08_03_50  2141.0     111.700190
  216  2018_08_31  08_04_00  2151.0     111.700280
  217  2018_08_31  08_04_10  2161.0     111.700250
  218  2018_08_31  08_04_20  2171.0     111.699990
  219  2018_08_31  08_04_30  2181.0     111.699580
  220  2018_08_31  08_04_40  2191.0     111.699490
  221  2018_08_31  08_04_50  2201.0     111.699840
  222  2018_08_31  08_05_00  2211.0     111.699340
  223  2018_08_31  08_05_10  2221.0     111.699080
  224  2018_08_31  08_05_20  2231.0     111.699340
  225  2018_08_31  08_05_30  2241.0     111.699190
  226  2018_08_31  08_05_40  2251.0     111.699020
  227  2018_08_31  08_05_50  2261.0     111.699190
  228  2018_08_31  08_06_00  2271.0     111.699400
  229  2018_08_31  08_06_10  2281.0     111.699400
  230  2018_08_31  08_06_20  2291.0     111.699610
  231  2018_08_31  08_06_30  2301.0     111.699400
  232  2018_08_31  08_06_40  2311.0     111.699340
  233  2018_08_31  08_06_50  2321.0     111.699220
  234  2018_08_31  08_07_00  2331.0     111.698720
  235  2018_08_31  08_07_10  2341.0     111.698870
  236  2018_08_31  08_07_20  2351.0     111.698900
  237  2018_08_31  08_07_30  2361.0     111.698840
  238  2018_08_31  08_07_40  2371.0     111.698670
  239  2018_08_31  08_07_50  2381.0     111.698250
  240  2018_08_31  08_08_00  2391.0     111.698020
  241  2018_08_31  08_08_10  2401.0     111.697960
  242  2018_08_31  08_08_20  2411.0     111.698110
  243  2018_08_31  08_08_30  2421.0     111.697460
  244  2018_08_31  08_08_40  2431.0     111.696900
  245  2018_08_31  08_08_50  2441.0     111.696490
  246  2018_08_31  08_09_00  2451.0     111.696230
  247  2018_08_31  08_09_10  2461.0     111.695990
  248  2018_08_31  08_09_20  2471.0     111.695610
  249  2018_08_31  08_09_30  2481.0     111.694670
  250  2018_08_31  08_09_40  2491.0     111.694670
  251  2018_08_31  08_09_50  2501.0     111.694550
  252  2018_08_31  08_10_00  2511.0     111.694850
  253  2018_08_31  08_10_10  2521.0     111.694910
  254  2018_08_31  08_10_20  2531.0     111.695380
  255  2018_08_31  08_10_30  2541.0     111.695380
  256  2018_08_31  08_10_40  2551.0     111.695460
  257  2018_08_31  08_10_50  2561.0     111.695230
  258  2018_08_31  08_11_00  2571.0     111.695110
  259  2018_08_31  08_11_10  2581.0     111.694790
  260  2018_08_31  08_11_20  2591.0     111.694500
  261  2018_08_31  08_11_30  2601.0     111.694670
  262  2018_08_31  08_11_40  2611.0     111.694640
  263  2018_08_31  08_11_50  2621.0     111.694790
  264  2018_08_31  08_12_00  2631.0     111.694940
  265  2018_08_31  08_12_10  2641.0     111.694910
  266  2018_08_31  08_12_20  2651.0     111.695200
  267  2018_08_31  08_12_30  2661.0     111.694990
  268  2018_08_31  08_12_40  2671.0     111.695260
  269  2018_08_31  08_12_50  2681.0     111.694670
  270  2018_08_31  08_13_00  2691.0     111.695170
  271  2018_08_31  08_13_10  2701.0     111.694790
  272  2018_08_31  08_13_20  2711.0     111.695320
  273  2018_08_31  08_13_30  2721.0     111.694610
  274  2018_08_31  08_13_40  2731.0     111.694730
  275  2018_08_31  08_13_50  2741.0     111.694500
  276  2018_08_31  08_14_00  2751.0     111.694380
  277  2018_08_31  08_14_10  2761.0     111.693910
  278  2018_08_31  08_14_20  2771.0     111.693850
  279  2018_08_31  08_14_30  2781.0     111.693880
  280  2018_08_31  08_14_40  2791.0     111.693610
  281  2018_08_31  08_14_50  2801.0     111.693610
  282  2018_08_31  08_15_00  2811.0     111.693610
  283  2018_08_31  08_15_10  2821.0     111.694170
  284  2018_08_31  08_15_20  2831.0     111.693910
  285  2018_08_31  08_15_30  2841.0     111.693670
  286  2018_08_31  08_15_40  2851.0     111.694380
  287  2018_08_31  08_15_50  2861.0     111.694410
  288  2018_08_31  08_16_00  2871.0     111.694500
  289  2018_08_31  08_16_10  2881.0     111.694990
  290  2018_08_31  08_16_20  2891.0     111.694610
  291  2018_08_31  08_16_30  2901.0     111.694440
  292  2018_08_31  08_16_40  2911.0     111.694700
  293  2018_08_31  08_16_50  2921.0     111.694970
  294  2018_08_31  08_17_00  2931.0     111.694820
  295  2018_08_31  08_17_10  2941.0     111.694940
  296  2018_08_31  08_17_20  2951.0     111.694880
  297  2018_08_31  08_17_30  2961.0     111.694880
  298  2018_08_31  08_17_40  2971.0     111.694970
  299  2018_08_31  08_17_50  2981.0     111.695880
  300  2018_08_31  08_18_00  2991.0     111.695930
  301  2018_08_31  08_18_10  3001.0     111.695110
  302  2018_08_31  08_18_20  3011.0     111.695140
  303  2018_08_31  08_18_30  3021.0     111.695170
  304  2018_08_31  08_18_40  3031.0     111.694970
  305  2018_08_31  08_18_50  3041.0     111.694940
  306  2018_08_31  08_19_00  3051.0     111.694940
  307  2018_08_31  08_19_10  3061.0     111.695020
  308  2018_08_31  08_19_20  3071.0     111.694760
  309  2018_08_31  08_19_30  3081.0     111.694550
  310  2018_08_31  08_19_40  3091.0     111.694290
  311  2018_08_31  08_19_50  3101.0     111.693940
  312  2018_08_31  08_20_00  3111.0     111.693880
  313  2018_08_31  08_20_10  3121.0     111.693320
  314  2018_08_31  08_20_20  3131.0     111.692940
  315  2018_08_31  08_20_30  3141.0     111.692880
  316  2018_08_31  08_20_40  3151.0     111.692620
  317  2018_08_31  08_20_50  3161.0     111.692090
  318  2018_08_31  08_21_00  3171.0     111.691910
  319  2018_08_31  08_21_10  3181.0     111.693380
  320  2018_08_31  08_21_20  3191.0     111.695430
  321  2018_08_31  08_21_30  3201.0     111.696840
  322  2018_08_31  08_21_40  3211.0     111.698140
  323  2018_08_31  08_21_50  3221.0     111.699250
  324  2018_08_31  08_22_00  3231.0     111.699660
  325  2018_08_31  08_22_10  3241.0     111.699780
  326  2018_08_31  08_22_20  3251.0     111.700430
  327  2018_08_31  08_22_30  3261.0     111.700280
  328  2018_08_31  08_22_40  3271.0     111.700900
  329  2018_08_31  08_22_50  3281.0     111.700720
  330  2018_08_31  08_23_00  3291.0     111.700400
  331  2018_08_31  08_23_10  3301.0     111.700810
  332  2018_08_31  08_23_20  3311.0     111.700780
  333  2018_08_31  08_23_30  3321.0     111.700490
  334  2018_08_31  08_23_40  3331.0     111.700050
  335  2018_08_31  08_23_50  3341.0     111.699870
  336  2018_08_31  08_24_00  3351.0     111.699370
  337  2018_08_31  08_24_10  3361.0     111.698780
  338  2018_08_31  08_24_20  3371.0     111.697930
  339  2018_08_31  08_24_30  3381.0     111.697260
  340  2018_08_31  08_24_40  3391.0     111.697310
  341  2018_08_31  08_24_50  3401.0     111.696760
  342  2018_08_31  08_25_00  3411.0     111.696930
  343  2018_08_31  08_25_10  3421.0     111.696490
  344  2018_08_31  08_25_20  3431.0     111.696320
  345  2018_08_31  08_25_30  3441.0     111.696580
  346  2018_08_31  08_25_40  3451.0     111.696520
  347  2018_08_31  08_25_50  3461.0     111.696930
  348  2018_08_31  08_26_00  3471.0     111.696820
  349  2018_08_31  08_26_10  3481.0     111.697200
  350  2018_08_31  08_26_20  3491.0     111.697290
  351  2018_08_31  08_26_30  3501.0     111.697520
  352  2018_08_31  08_26_40  3511.0     111.697760
  353  2018_08_31  08_26_50  3521.0     111.696990
  354  2018_08_31  08_27_00  3531.0     111.697140
  355  2018_08_31  08_27_10  3541.0     111.697020
  356  2018_08_31  08_27_20  3551.0     111.697400
  357  2018_08_31  08_27_30  3561.0     111.697580
  358  2018_08_31  08_27_40  3571.0     111.697700
  359  2018_08_31  08_27_50  3581.0     111.697340
  360  2018_08_31  08_28_00  3591.0     111.698460
  361  2018_08_31  08_28_10  3601.0     111.697990
  362  2018_08_31  08_28_20  3611.0     111.698640
  363  2018_08_31  08_28_30  3621.0     111.698960
  364  2018_08_31  08_28_40  3631.0     111.699110
  365  2018_08_31  08_28_50  3641.0     111.699550
  366  2018_08_31  08_29_00  3651.0     111.699900
  367  2018_08_31  08_29_10  3661.0     111.699870
  368  2018_08_31  08_29_20  3671.0     111.699020
  369  2018_08_31  08_29_30  3681.0     111.699490
  370  2018_08_31  08_29_40  3691.0     111.699840
  371  2018_08_31  08_29_50  3701.0     111.700100
  372  2018_08_31  08_30_00  3711.0     111.699750
  373  2018_08_31  08_30_10  3721.0     111.699690
  374  2018_08_31  08_30_20  3731.0     111.699750
  375  2018_08_31  08_30_30  3741.0     111.699960
  376  2018_08_31  08_30_40  3751.0     111.699930
  377  2018_08_31  08_30_50  3761.0     111.699750
  378  2018_08_31  08_31_00  3771.0     111.699690
  379  2018_08_31  08_31_10  3781.0     111.699400
  380  2018_08_31  08_31_20  3791.0     111.699990
  381  2018_08_31  08_31_30  3801.0     111.699160
  382  2018_08_31  08_31_40  3811.0     111.700250
  383  2018_08_31  08_31_50  3821.0     111.699310
  384  2018_08_31  08_32_00  3831.0     111.699460
  385  2018_08_31  08_32_10  3841.0     111.699280
  386  2018_08_31  08_32_20  3851.0     111.699580
  387  2018_08_31  08_32_30  3861.0     111.699310
  388  2018_08_31  08_32_40  3871.0     111.699280
  389  2018_08_31  08_32_50  3881.0     111.699660
  390  2018_08_31  08_33_00  3891.0     111.699400
  391  2018_08_31  08_33_10  3901.0     111.699370
  392  2018_08_31  08_33_20  3911.0     111.699220
  393  2018_08_31  08_33_30  3921.0     111.698870
  394  2018_08_31  08_33_40  3931.0     111.699190
  395  2018_08_31  08_33_50  3941.0     111.699020
  396  2018_08_31  08_34_00  3951.0     111.699110
  397  2018_08_31  08_34_10  3961.0     111.699220
  398  2018_08_31  08_34_20  3971.0     111.698810
  399  2018_08_31  08_34_30  3981.0     111.699340
  400  2018_08_31  08_34_40  3991.0     111.699610
  401  2018_08_31  08_34_50  4001.0     111.699580
  402  2018_08_31  08_35_00  4011.0     111.699840
  403  2018_08_31  08_35_10  4021.0     111.699430
  404  2018_08_31  08_35_20  4031.0     111.699610
  405  2018_08_31  08_35_30  4041.0     111.699780
  406  2018_08_31  08_35_40  4051.0     111.699250
  407  2018_08_31  08_35_50  4061.0     111.699610
  408  2018_08_31  08_36_00  4071.0     111.699930
  409  2018_08_31  08_36_10  4081.0     111.699520
  410  2018_08_31  08_36_20  4091.0     111.699870
  411  2018_08_31  08_36_30  4101.0     111.699750
  412  2018_08_31  08_36_40  4111.0     111.699520
  413  2018_08_31  08_36_50  4121.0     111.699550
  414  2018_08_31  08_37_00  4131.0     111.699840
  415  2018_08_31  08_37_10  4141.0     111.699490
  416  2018_08_31  08_37_20  4151.0     111.699220
  417  2018_08_31  08_37_30  4161.0     111.699050
  418  2018_08_31  08_37_40  4171.0     111.699220
  419  2018_08_31  08_37_50  4181.0     111.698170
  420  2018_08_31  08_38_00  4191.0     111.698640
  421  2018_08_31  08_38_10  4201.0     111.698080
  422  2018_08_31  08_38_20  4211.0     111.697870
  423  2018_08_31  08_38_30  4221.0     111.697340
  424  2018_08_31  08_38_40  4231.0     111.697370
  425  2018_08_31  08_38_50  4241.0     111.697460
  426  2018_08_31  08_39_00  4251.0     111.697460
  427  2018_08_31  08_39_10  4261.0     111.697520
  428  2018_08_31  08_39_20  4271.0     111.696870
  429  2018_08_31  08_39_30  4281.0     111.697200
  430  2018_08_31  08_39_40  4291.0     111.697370
  431  2018_08_31  08_39_50  4301.0     111.697400
  432  2018_08_31  08_40_00  4311.0     111.697170
  433  2018_08_31  08_40_10  4321.0     111.697260
  434  2018_08_31  08_40_20  4331.0     111.697840
  435  2018_08_31  08_40_30  4341.0     111.697520
  436  2018_08_31  08_40_40  4351.0     111.697900
  437  2018_08_31  08_40_50  4361.0     111.698140
  438  2018_08_31  08_41_00  4371.0     111.698170
  439  2018_08_31  08_41_10  4381.0     111.698640
  440  2018_08_31  08_41_20  4391.0     111.698400
  441  2018_08_31  08_41_30  4401.0     111.698200
  442  2018_08_31  08_41_40  4411.0     111.698840
  443  2018_08_31  08_41_50  4421.0     111.698400
  444  2018_08_31  08_42_00  4431.0     111.698400
  445  2018_08_31  08_42_10  4441.0     111.698200
  446  2018_08_31  08_42_20  4451.0     111.697930
  447  2018_08_31  08_42_30  4461.0     111.697730
  448  2018_08_31  08_42_40  4471.0     111.697580
  449  2018_08_31  08_42_50  4481.0     111.697760
  450  2018_08_31  08_43_00  4491.0     111.697700
  451  2018_08_31  08_43_10  4501.0     111.698050
  452  2018_08_31  08_43_20  4511.0     111.698170
  453  2018_08_31  08_43_30  4521.0     111.698280
  454  2018_08_31  08_43_40  4531.0     111.697580
  455  2018_08_31  08_43_50  4541.0     111.697930
  456  2018_08_31  08_44_00  4551.0     111.698340
  457  2018_08_31  08_44_10  4561.0     111.697900
  458  2018_08_31  08_44_20  4571.0     111.697490
  459  2018_08_31  08_44_30  4581.0     111.697110
  460  2018_08_31  08_44_40  4591.0     111.697230
  461  2018_08_31  08_44_50  4601.0     111.697400
  462  2018_08_31  08_45_00  4611.0     111.697490
  463  2018_08_31  08_45_10  4621.0     111.697670
  464  2018_08_31  08_45_20  4631.0     111.697780
  465  2018_08_31  08_45_30  4641.0     111.697930
  466  2018_08_31  08_45_40  4651.0     111.697460
  467  2018_08_31  08_45_50  4661.0     111.697730
  468  2018_08_31  08_46_00  4671.0     111.697230
  469  2018_08_31  08_46_10  4681.0     111.697780
  470  2018_08_31  08_46_20  4691.0     111.697170
  471  2018_08_31  08_46_30  4701.0     111.697200
  472  2018_08_31  08_46_40  4711.0     111.697080
  473  2018_08_31  08_46_50  4721.0     111.696900
  474  2018_08_31  08_47_00  4731.0     111.696640
  475  2018_08_31  08_47_10  4741.0     111.696230
  476  2018_08_31  08_47_20  4751.0     111.696050
  477  2018_08_31  08_47_30  4761.0     111.695960
  478  2018_08_31  08_47_40  4771.0     111.695640
  479  2018_08_31  08_47_50  4781.0     111.695430
  480  2018_08_31  08_48_00  4791.0     111.694850
