Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_08_30  08_06_48     0.0     111.711850
    2  2018_08_30  08_06_58    10.0     111.712030
    3  2018_08_30  08_07_08    20.0     111.712030
    4  2018_08_30  08_07_18    30.0     111.712560
    5  2018_08_30  08_07_28    40.0     111.712560
    6  2018_08_30  08_07_38    50.0     111.712620
    7  2018_08_30  08_07_48    60.0     111.712880
    8  2018_08_30  08_07_58    70.0     111.712670
    9  2018_08_30  08_08_08    80.0     111.712670
   10  2018_08_30  08_08_18    90.0     111.711940
   11  2018_08_30  08_08_28   100.0     111.712260
   12  2018_08_30  08_08_38   110.0     111.712440
   13  2018_08_30  08_08_48   120.0     111.712230
   14  2018_08_30  08_08_58   130.0     111.712200
   15  2018_08_30  08_09_08   140.0     111.711710
   16  2018_08_30  08_09_18   150.0     111.711470
   17  2018_08_30  08_09_28   160.0     111.710940
   18  2018_08_30  08_09_38   170.0     111.710680
   19  2018_08_30  08_09_48   180.0     111.710590
   20  2018_08_30  08_09_58   190.0     111.710590
   21  2018_08_30  08_10_08   200.0     111.710620
   22  2018_08_30  08_10_18   210.0     111.710350
   23  2018_08_30  08_10_28   220.0     111.710000
   24  2018_08_30  08_10_38   230.0     111.710440
   25  2018_08_30  08_10_48   240.0     111.710240
   26  2018_08_30  08_10_58   250.0     111.711030
   27  2018_08_30  08_11_08   260.0     111.711290
   28  2018_08_30  08_11_18   270.0     111.711150
   29  2018_08_30  08_11_28   280.0     111.711320
   30  2018_08_30  08_11_38   290.0     111.711440
   31  2018_08_30  08_11_48   300.0     111.712260
   32  2018_08_30  08_11_58   310.0     111.712730
   33  2018_08_30  08_12_08   320.0     111.713350
   34  2018_08_30  08_12_18   330.0     111.714320
   35  2018_08_30  08_12_28   340.0     111.714500
   36  2018_08_30  08_12_38   350.0     111.715050
   37  2018_08_30  08_12_48   360.0     111.715460
   38  2018_08_30  08_12_58   370.0     111.716230
   39  2018_08_30  08_13_08   380.0     111.716260
   40  2018_08_30  08_13_18   390.0     111.716900
   41  2018_08_30  08_13_28   400.0     111.716790
   42  2018_08_30  08_13_38   410.0     111.718050
   43  2018_08_30  08_13_48   420.0     111.717990
   44  2018_08_30  08_13_58   430.0     111.718550
   45  2018_08_30  08_14_08   440.0     111.719110
   46  2018_08_30  08_14_18   450.0     111.720550
   47  2018_08_30  08_14_28   460.0     111.720720
   48  2018_08_30  08_14_38   470.0     111.720960
   49  2018_08_30  08_14_48   480.0     111.722160
   50  2018_08_30  08_14_58   490.0     111.722600
   51  2018_08_30  08_15_08   500.0     111.722400
   52  2018_08_30  08_15_18   510.0     111.722600
   53  2018_08_30  08_15_28   520.0     111.723310
   54  2018_08_30  08_15_38   530.0     111.723390
   55  2018_08_30  08_15_48   540.0     111.723720
   56  2018_08_30  08_15_58   550.0     111.723830
   57  2018_08_30  08_16_08   560.0     111.723830
   58  2018_08_30  08_16_18   570.0     111.723660
   59  2018_08_30  08_16_28   580.0     111.723950
   60  2018_08_30  08_16_38   590.0     111.723750
   61  2018_08_30  08_16_48   600.0     111.723450
   62  2018_08_30  08_16_58   610.0     111.723010
   63  2018_08_30  08_17_08   620.0     111.723480
   64  2018_08_30  08_17_18   630.0     111.722250
   65  2018_08_30  08_17_28   640.0     111.721980
   66  2018_08_30  08_17_38   650.0     111.722010
   67  2018_08_30  08_17_48   660.0     111.721720
   68  2018_08_30  08_17_58   670.0     111.721100
   69  2018_08_30  08_18_08   680.0     111.720810
   70  2018_08_30  08_18_18   690.0     111.720810
   71  2018_08_30  08_18_28   700.0     111.720280
