Pt.        Date      Time        RT/s       R/Omiga    
    1  2019_01_14  08_39_07     0.0     115.566100
    2  2019_01_14  08_39_17    10.0     115.566040
    3  2019_01_14  08_39_27    20.0     115.566220
    4  2019_01_14  08_39_37    30.0     115.566540
    5  2019_01_14  08_39_47    40.0     115.566780
    6  2019_01_14  08_39_57    50.0     115.566810
    7  2019_01_14  08_40_07    60.0     115.566630
    8  2019_01_14  08_40_17    70.0     115.567040
    9  2019_01_14  08_40_27    80.0     115.566280
   10  2019_01_14  08_40_37    90.0     115.566780
   11  2019_01_14  08_40_47   100.0     115.566900
   12  2019_01_14  08_40_57   110.0     115.566810
   13  2019_01_14  08_41_07   120.0     115.566250
   14  2019_01_14  08_41_17   130.0     115.566660
   15  2019_01_14  08_41_27   140.0     115.566660
   16  2019_01_14  08_41_37   150.0     115.567010
   17  2019_01_14  08_41_47   160.0     115.566280
   18  2019_01_14  08_41_57   170.0     115.566020
   19  2019_01_14  08_42_07   180.0     115.566460
   20  2019_01_14  08_42_17   190.0     115.566130
   21  2019_01_14  08_42_27   200.0     115.566310
   22  2019_01_14  08_42_37   210.0     115.565780
   23  2019_01_14  08_42_47   220.0     115.565690
   24  2019_01_14  08_42_57   230.0     115.566160
   25  2019_01_14  08_43_07   240.0     115.565870
   26  2019_01_14  08_43_17   250.0     115.565870
   27  2019_01_14  08_43_27   260.0     115.566220
   28  2019_01_14  08_43_37   270.0     115.565690
   29  2019_01_14  08_43_47   280.0     115.565870
   30  2019_01_14  08_43_57   290.0     115.565840
   31  2019_01_14  08_44_07   300.0     115.565810
   32  2019_01_14  08_44_17   310.0     115.565900
   33  2019_01_14  08_44_27   320.0     115.566280
   34  2019_01_14  08_44_37   330.0     115.565570
   35  2019_01_14  08_44_47   340.0     115.566430
   36  2019_01_14  08_44_57   350.0     115.566220
   37  2019_01_14  08_45_07   360.0     115.566600
   38  2019_01_14  08_45_17   370.0     115.566160
   39  2019_01_14  08_45_27   380.0     115.566400
   40  2019_01_14  08_45_37   390.0     115.566020
   41  2019_01_14  08_45_47   400.0     115.566220
   42  2019_01_14  08_45_57   410.0     115.566040
   43  2019_01_14  08_46_07   420.0     115.566070
   44  2019_01_14  08_46_17   430.0     115.565690
   45  2019_01_14  08_46_27   440.0     115.565930
   46  2019_01_14  08_46_37   450.0     115.566250
   47  2019_01_14  08_46_47   460.0     115.566400
   48  2019_01_14  08_46_57   470.0     115.566070
   49  2019_01_14  08_47_07   480.0     115.565930
   50  2019_01_14  08_47_17   490.0     115.566510
   51  2019_01_14  08_47_27   500.0     115.566130
   52  2019_01_14  08_47_37   510.0     115.566250
   53  2019_01_14  08_47_47   520.0     115.565930
   54  2019_01_14  08_47_57   530.0     115.566540
   55  2019_01_14  08_48_07   540.0     115.566340
   56  2019_01_14  08_48_17   550.0     115.566220
   57  2019_01_14  08_48_27   560.0     115.566130
   58  2019_01_14  08_48_37   570.0     115.566540
   59  2019_01_14  08_48_47   580.0     115.566460
   60  2019_01_14  08_48_57   590.0     115.566220
   61  2019_01_14  08_49_07   600.0     115.566600
   62  2019_01_14  08_49_17   610.0     115.566510
   63  2019_01_14  08_49_27   620.0     115.566280
   64  2019_01_14  08_49_37   630.0     115.566510
   65  2019_01_14  08_49_47   640.0     115.566750
   66  2019_01_14  08_49_57   650.0     115.566540
   67  2019_01_14  08_50_07   660.0     115.566490
   68  2019_01_14  08_50_17   670.0     115.566780
   69  2019_01_14  08_50_27   680.0     115.566630
   70  2019_01_14  08_50_37   690.0     115.566400
   71  2019_01_14  08_50_47   700.0     115.566570
   72  2019_01_14  08_50_57   710.0     115.566630
   73  2019_01_14  08_51_07   720.0     115.566840
   74  2019_01_14  08_51_17   730.0     115.566400
   75  2019_01_14  08_51_27   740.0     115.566600
   76  2019_01_14  08_51_37   750.0     115.566720
   77  2019_01_14  08_51_47   760.0     115.566900
   78  2019_01_14  08_51_57   770.0     115.566400
   79  2019_01_14  08_52_07   780.0     115.566490
   80  2019_01_14  08_52_17   790.0     115.566540
   81  2019_01_14  08_52_27   800.0     115.566310
   82  2019_01_14  08_52_37   810.0     115.566400
   83  2019_01_14  08_52_47   820.0     115.566720
   84  2019_01_14  08_52_57   830.0     115.566510
   85  2019_01_14  08_53_07   840.0     115.566930
   86  2019_01_14  08_53_17   850.0     115.566490
   87  2019_01_14  08_53_27   860.0     115.566660
   88  2019_01_14  08_53_37   870.0     115.566340
   89  2019_01_14  08_53_47   880.0     115.566900
   90  2019_01_14  08_53_57   890.0     115.566660
