Pt.        Date      Time        RT/s       R/Omiga    
    1  2019_01_14  13_53_21     1.0     115.566780
    2  2019_01_14  13_53_27     7.0     115.566810
    3  2019_01_14  13_53_29     9.0     115.566750
    4  2019_01_14  13_53_31    11.0     115.567100
    5  2019_01_14  13_53_37    17.0     115.566930
    6  2019_01_14  13_53_39    19.0     115.567400
    7  2019_01_14  13_53_41    21.0     115.566660
    8  2019_01_14  13_53_47    27.0     115.566870
    9  2019_01_14  13_53_49    29.0     115.567100
   10  2019_01_14  13_53_51    31.0     115.567250
   11  2019_01_14  13_53_57    37.0     115.566660
   12  2019_01_14  13_53_59    39.0     115.567510
   13  2019_01_14  13_54_01    41.0     115.567070
   14  2019_01_14  13_54_07    47.0     115.566840
   15  2019_01_14  13_54_09    49.0     115.566810
   16  2019_01_14  13_54_11    51.0     115.566750
   17  2019_01_14  13_54_17    57.0     115.567100
   18  2019_01_14  13_54_19    59.0     115.566960
   19  2019_01_14  13_54_21    61.0     115.567220
   20  2019_01_14  13_54_27    67.0     115.566720
   21  2019_01_14  13_54_29    69.0     115.566840
   22  2019_01_14  13_54_31    71.0     115.567190
   23  2019_01_14  13_54_37    77.0     115.566930
   24  2019_01_14  13_54_39    79.0     115.567220
   25  2019_01_14  13_54_41    81.0     115.567160
   26  2019_01_14  13_54_47    87.0     115.567400
   27  2019_01_14  13_54_49    89.0     115.566900
   28  2019_01_14  13_54_51    91.0     115.567310
   29  2019_01_14  13_54_57    97.0     115.567370
   30  2019_01_14  13_54_59    99.0     115.566900
   31  2019_01_14  13_55_01   101.0     115.566930
   32  2019_01_14  13_55_07   107.0     115.566930
   33  2019_01_14  13_55_09   109.0     115.567220
   34  2019_01_14  13_55_11   111.0     115.567690
   35  2019_01_14  13_55_17   117.0     115.566810
   36  2019_01_14  13_55_19   119.0     115.566930
   37  2019_01_14  13_55_21   121.0     115.567130
   38  2019_01_14  13_55_27   127.0     115.567190
   39  2019_01_14  13_55_29   129.0     115.566780
   40  2019_01_14  13_55_31   131.0     115.567130
   41  2019_01_14  13_55_37   137.0     115.567010
   42  2019_01_14  13_55_39   139.0     115.567100
   43  2019_01_14  13_55_41   141.0     115.566980
   44  2019_01_14  13_55_47   147.0     115.566930
   45  2019_01_14  13_55_49   149.0     115.566810
   46  2019_01_14  13_55_51   151.0     115.567130
   47  2019_01_14  13_55_57   157.0     115.566960
