Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_12_06  10_22_09     0.0     119.418120
    2  2018_12_06  10_22_19    10.0     119.417740
    3  2018_12_06  10_22_29    20.0     119.418180
    4  2018_12_06  10_22_39    30.0     119.417860
    5  2018_12_06  10_22_49    40.0     119.418330
    6  2018_12_06  10_22_59    50.0     119.417770
    7  2018_12_06  10_23_09    60.0     119.417830
    8  2018_12_06  10_23_19    70.0     119.417740
    9  2018_12_06  10_23_29    80.0     119.418010
   10  2018_12_06  10_23_39    90.0     119.418030
   11  2018_12_06  10_23_49   100.0     119.418240
   12  2018_12_06  10_23_59   110.0     119.418240
   13  2018_12_06  10_24_09   120.0     119.418240
   14  2018_12_06  10_24_19   130.0     119.418180
   15  2018_12_06  10_24_29   140.0     119.418060
   16  2018_12_06  10_24_39   150.0     119.418030
   17  2018_12_06  10_24_49   160.0     119.418360
   18  2018_12_06  10_24_59   170.0     119.418120
   19  2018_12_06  10_25_09   180.0     119.418530
   20  2018_12_06  10_25_19   190.0     119.418210
   21  2018_12_06  10_25_29   200.0     119.418120
   22  2018_12_06  10_25_39   210.0     119.418450
   23  2018_12_06  10_25_49   220.0     119.418090
   24  2018_12_06  10_25_59   230.0     119.418150
   25  2018_12_06  10_26_09   240.0     119.418270
   26  2018_12_06  10_26_19   250.0     119.418420
   27  2018_12_06  10_26_29   260.0     119.418120
   28  2018_12_06  10_26_39   270.0     119.418360
   29  2018_12_06  10_26_49   280.0     119.418330
   30  2018_12_06  10_26_59   290.0     119.417800
   31  2018_12_06  10_27_09   300.0     119.418650
   32  2018_12_06  10_27_19   310.0     119.418620
   33  2018_12_06  10_27_29   320.0     119.418360
   34  2018_12_06  10_27_39   330.0     119.418240
   35  2018_12_06  10_27_49   340.0     119.418480
   36  2018_12_06  10_27_59   350.0     119.418150
   37  2018_12_06  10_28_09   360.0     119.418330
   38  2018_12_06  10_28_19   370.0     119.418530
   39  2018_12_06  10_28_29   380.0     119.418180
   40  2018_12_06  10_28_39   390.0     119.418620
   41  2018_12_06  10_28_49   400.0     119.418420
   42  2018_12_06  10_28_59   410.0     119.418390
   43  2018_12_06  10_29_09   420.0     119.418740
   44  2018_12_06  10_29_19   430.0     119.418390
   45  2018_12_06  10_29_29   440.0     119.418360
   46  2018_12_06  10_29_39   450.0     119.418180
   47  2018_12_06  10_29_49   460.0     119.418450
   48  2018_12_06  10_29_59   470.0     119.418270
   49  2018_12_06  10_30_09   480.0     119.418390
   50  2018_12_06  10_30_19   490.0     119.418270
   51  2018_12_06  10_30_29   500.0     119.418090
   52  2018_12_06  10_30_39   510.0     119.417950
   53  2018_12_06  10_30_49   520.0     119.418090
   54  2018_12_06  10_30_59   530.0     119.417950
   55  2018_12_06  10_31_09   540.0     119.418120
   56  2018_12_06  10_31_19   550.0     119.418710
   57  2018_12_06  10_31_29   560.0     119.417650
   58  2018_12_06  10_31_39   570.0     119.417950
   59  2018_12_06  10_31_49   580.0     119.418090
   60  2018_12_06  10_31_59   590.0     119.418560
   61  2018_12_06  10_32_09   600.0     119.418920
   62  2018_12_06  10_32_19   610.0     119.418650
   63  2018_12_06  10_32_29   620.0     119.418480
   64  2018_12_06  10_32_39   630.0     119.418180
   65  2018_12_06  10_32_49   640.0     119.418620
   66  2018_12_06  10_32_59   650.0     119.418180
   67  2018_12_06  10_33_09   660.0     119.418390
   68  2018_12_06  10_33_19   670.0     119.418450
   69  2018_12_06  10_33_29   680.0     119.418300
   70  2018_12_06  10_33_39   690.0     119.417890
   71  2018_12_06  10_33_49   700.0     119.418330
   72  2018_12_06  10_33_59   710.0     119.418210
   73  2018_12_06  10_34_09   720.0     119.418090
   74  2018_12_06  10_34_19   730.0     119.417770
   75  2018_12_06  10_34_29   740.0     119.418800
   76  2018_12_06  10_34_39   750.0     119.418060
   77  2018_12_06  10_34_49   760.0     119.418090
   78  2018_12_06  10_34_59   770.0     119.417480
   79  2018_12_06  10_35_09   780.0     119.418120
   80  2018_12_06  10_35_19   790.0     119.418010
   81  2018_12_06  10_35_29   800.0     119.417590
   82  2018_12_06  10_35_39   810.0     119.417950
   83  2018_12_06  10_35_49   820.0     119.417680
   84  2018_12_06  10_35_59   830.0     119.417860
   85  2018_12_06  10_36_09   840.0     119.417770
   86  2018_12_06  10_36_19   850.0     119.417680
   87  2018_12_06  10_36_29   860.0     119.417510
   88  2018_12_06  10_36_39   870.0     119.417770
   89  2018_12_06  10_36_49   880.0     119.417920
   90  2018_12_06  10_36_59   890.0     119.418240
   91  2018_12_06  10_37_09   900.0     119.417800
   92  2018_12_06  10_37_19   910.0     119.417680
   93  2018_12_06  10_37_29   920.0     119.418030
   94  2018_12_06  10_37_39   930.0     119.418450
   95  2018_12_06  10_37_49   940.0     119.417860
   96  2018_12_06  10_37_59   950.0     119.417890
   97  2018_12_06  10_38_09   960.0     119.418150
   98  2018_12_06  10_38_19   970.0     119.418240
   99  2018_12_06  10_38_29   980.0     119.418560
  100  2018_12_06  10_38_39   990.0     119.418330
  101  2018_12_06  10_38_49  1000.0     119.418180
  102  2018_12_06  10_38_59  1010.0     119.418090
  103  2018_12_06  10_39_09  1020.0     119.417710
  104  2018_12_06  10_39_19  1030.0     119.417240
  105  2018_12_06  10_39_29  1040.0     119.416420
  106  2018_12_06  10_39_39  1050.0     119.416420
  107  2018_12_06  10_39_49  1060.0     119.415800
  108  2018_12_06  10_39_59  1070.0     119.415890
  109  2018_12_06  10_40_09  1080.0     119.416210
  110  2018_12_06  10_40_19  1090.0     119.416480
  111  2018_12_06  10_40_29  1100.0     119.416100
  112  2018_12_06  10_40_39  1110.0     119.416210
  113  2018_12_06  10_40_49  1120.0     119.416740
  114  2018_12_06  10_40_59  1130.0     119.416510
  115  2018_12_06  10_41_09  1140.0     119.416630
  116  2018_12_06  10_41_19  1150.0     119.416680
  117  2018_12_06  10_41_29  1160.0     119.416890
