Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_11_27  08_38_02     0.0     119.413780
    2  2018_11_27  08_38_12    10.0     119.413570
    3  2018_11_27  08_38_22    20.0     119.413340
    4  2018_11_27  08_38_32    30.0     119.413810
    5  2018_11_27  08_38_42    40.0     119.413720
    6  2018_11_27  08_38_52    50.0     119.413890
    7  2018_11_27  08_39_02    60.0     119.413630
    8  2018_11_27  08_39_12    70.0     119.413630
    9  2018_11_27  08_39_22    80.0     119.414190
   10  2018_11_27  08_39_32    90.0     119.414630
   11  2018_11_27  08_39_42   100.0     119.414770
   12  2018_11_27  08_39_52   110.0     119.416240
   13  2018_11_27  08_40_02   120.0     119.416160
   14  2018_11_27  08_40_12   130.0     119.417040
   15  2018_11_27  08_40_22   140.0     119.417620
   16  2018_11_27  08_40_32   150.0     119.417300
   17  2018_11_27  08_40_42   160.0     119.417390
   18  2018_11_27  08_40_52   170.0     119.417240
   19  2018_11_27  08_41_02   180.0     119.417150
   20  2018_11_27  08_41_12   190.0     119.417420
   21  2018_11_27  08_41_22   200.0     119.417620
   22  2018_11_27  08_41_32   210.0     119.417420
   23  2018_11_27  08_41_42   220.0     119.417590
   24  2018_11_27  08_41_52   230.0     119.418030
   25  2018_11_27  08_42_02   240.0     119.418360
   26  2018_11_27  08_42_12   250.0     119.418030
   27  2018_11_27  08_42_22   260.0     119.418950
   28  2018_11_27  08_42_32   270.0     119.419270
   29  2018_11_27  08_42_42   280.0     119.419240
   30  2018_11_27  08_42_52   290.0     119.419770
   31  2018_11_27  08_43_02   300.0     119.419830
   32  2018_11_27  08_43_12   310.0     119.419650
   33  2018_11_27  08_43_22   320.0     119.420030
   34  2018_11_27  08_43_32   330.0     119.419910
   35  2018_11_27  08_43_42   340.0     119.420270
   36  2018_11_27  08_43_52   350.0     119.420500
   37  2018_11_27  08_44_02   360.0     119.421090
   38  2018_11_27  08_44_12   370.0     119.421470
   39  2018_11_27  08_44_22   380.0     119.422530
   40  2018_11_27  08_44_32   390.0     119.423470
   41  2018_11_27  08_44_42   400.0     119.423260
   42  2018_11_27  08_44_52   410.0     119.424110
   43  2018_11_27  08_45_02   420.0     119.423760
   44  2018_11_27  08_45_12   430.0     119.424140
   45  2018_11_27  08_45_22   440.0     119.424200
   46  2018_11_27  08_45_32   450.0     119.423410
   47  2018_11_27  08_45_42   460.0     119.423440
   48  2018_11_27  08_45_52   470.0     119.423060
   49  2018_11_27  08_46_02   480.0     119.422820
   50  2018_11_27  08_46_12   490.0     119.421910
   51  2018_11_27  08_46_22   500.0     119.421650
   52  2018_11_27  08_46_32   510.0     119.421500
   53  2018_11_27  08_46_42   520.0     119.420680
   54  2018_11_27  08_46_52   530.0     119.419890
   55  2018_11_27  08_47_02   540.0     119.420000
   56  2018_11_27  08_47_12   550.0     119.419440
   57  2018_11_27  08_47_22   560.0     119.419210
   58  2018_11_27  08_47_32   570.0     119.418480
   59  2018_11_27  08_47_42   580.0     119.418390
   60  2018_11_27  08_47_52   590.0     119.418360
   61  2018_11_27  08_48_02   600.0     119.418010
   62  2018_11_27  08_48_12   610.0     119.417210
   63  2018_11_27  08_48_22   620.0     119.417240
   64  2018_11_27  08_48_32   630.0     119.416950
   65  2018_11_27  08_48_42   640.0     119.416980
   66  2018_11_27  08_48_52   650.0     119.416630
