Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_01_29  13_09_26     0.0     123.054800
    2  2018_01_29  13_09_36    10.0     123.055700
    3  2018_01_29  13_09_46    20.0     123.054800
    4  2018_01_29  13_09_56    30.0     123.054800
    5  2018_01_29  13_10_06    40.0     123.054800
    6  2018_01_29  13_10_16    50.0     123.054800
    7  2018_01_29  13_10_26    60.0     123.053900
    8  2018_01_29  13_10_36    70.0     123.054800
    9  2018_01_29  13_10_46    80.0     123.054200
   10  2018_01_29  13_10_56    90.0     123.053900
   11  2018_01_29  13_11_06   100.0     123.054500
   12  2018_01_29  13_11_16   110.0     123.054200
   13  2018_01_29  13_11_26   120.0     123.054800
   14  2018_01_29  13_11_36   130.0     123.054200
   15  2018_01_29  13_11_46   140.0     123.055400
   16  2018_01_29  13_11_56   150.0     123.055700
   17  2018_01_29  13_12_06   160.0     123.056000
   18  2018_01_29  13_12_16   170.0     123.055100
   19  2018_01_29  13_12_26   180.0     123.055700
   20  2018_01_29  13_12_36   190.0     123.055100
   21  2018_01_29  13_12_46   200.0     123.056000
   22  2018_01_29  13_12_56   210.0     123.055400
   23  2018_01_29  13_13_06   220.0     123.055400
   24  2018_01_29  13_13_16   230.0     123.055700
   25  2018_01_29  13_13_26   240.0     123.056300
   26  2018_01_29  13_13_36   250.0     123.055700
   27  2018_01_29  13_13_46   260.0     123.055100
   28  2018_01_29  13_13_56   270.0     123.055700
   29  2018_01_29  13_14_06   280.0     123.056300
   30  2018_01_29  13_14_16   290.0     123.056000
   31  2018_01_29  13_14_26   300.0     123.056000
   32  2018_01_29  13_14_36   310.0     123.055400
   33  2018_01_29  13_14_46   320.0     123.055700
   34  2018_01_29  13_14_56   330.0     123.056000
   35  2018_01_29  13_15_06   340.0     123.056300
   36  2018_01_29  13_15_16   350.0     123.055700
   37  2018_01_29  13_15_26   360.0     123.056900
   38  2018_01_29  13_15_36   370.0     123.056300
   39  2018_01_29  13_15_46   380.0     123.057400
   40  2018_01_29  13_15_56   390.0     123.056300
   41  2018_01_29  13_16_06   400.0     123.056300
   42  2018_01_29  13_16_16   410.0     123.056600
   43  2018_01_29  13_16_26   420.0     123.057400
   44  2018_01_29  13_16_36   430.0     123.056900
   45  2018_01_29  13_16_46   440.0     123.057400
   46  2018_01_29  13_16_56   450.0     123.057200
