Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_03_05  09_44_02     1.0     119.146110
    2  2018_03_05  09_44_11    10.0     119.146760
    3  2018_03_05  09_44_21    20.0     119.147700
    4  2018_03_05  09_44_31    30.0     119.147760
    5  2018_03_05  09_44_41    40.0     119.148720
    6  2018_03_05  09_44_51    50.0     119.149190
    7  2018_03_05  09_45_01    60.0     119.149690
    8  2018_03_05  09_45_11    70.0     119.149460
    9  2018_03_05  09_45_21    80.0     119.149140
   10  2018_03_05  09_45_31    90.0     119.148230
   11  2018_03_05  09_45_41   100.0     119.147110
   12  2018_03_05  09_45_51   110.0     119.145820
   13  2018_03_05  09_46_01   120.0     119.143790
   14  2018_03_05  09_46_11   130.0     119.142180
   15  2018_03_05  09_46_21   140.0     119.140090
   16  2018_03_05  09_46_31   150.0     119.138590
   17  2018_03_05  09_46_41   160.0     119.137360
   18  2018_03_05  09_46_51   170.0     119.136540
   19  2018_03_05  09_47_01   180.0     119.135800
   20  2018_03_05  09_47_11   190.0     119.135710
   21  2018_03_05  09_47_22   200.0     119.136070
   22  2018_03_05  09_47_31   210.0     119.136800
   23  2018_03_05  09_47_41   220.0     119.138090
   24  2018_03_05  09_47_51   230.0     119.139270
   25  2018_03_05  09_48_01   240.0     119.141880
   26  2018_03_05  09_48_11   250.0     119.143350
   27  2018_03_05  09_48_21   260.0     119.145850
   28  2018_03_05  09_48_31   270.0     119.148460
   29  2018_03_05  09_48_41   280.0     119.150490
   30  2018_03_05  09_48_51   290.0     119.154100
   31  2018_03_05  09_49_01   300.0     119.156890
   32  2018_03_05  09_49_11   310.0     119.160120
   33  2018_03_05  09_49_21   320.0     119.163200
   34  2018_03_05  09_49_32   330.0     119.166670
   35  2018_03_05  09_49_41   340.0     119.170050
   36  2018_03_05  09_49_51   350.0     119.173860
   37  2018_03_05  09_50_01   360.0     119.177360
   38  2018_03_05  09_50_11   370.0     119.181000
   39  2018_03_05  09_50_21   380.0     119.184320
   40  2018_03_05  09_50_31   390.0     119.187990
   41  2018_03_05  09_50_41   400.0     119.191250
   42  2018_03_05  09_50_51   410.0     119.194480
   43  2018_03_05  09_51_01   420.0     119.197590
   44  2018_03_05  09_51_11   430.0     119.200530
   45  2018_03_05  09_51_21   440.0     119.203320
   46  2018_03_05  09_51_31   450.0     119.206350
   47  2018_03_05  09_51_41   460.0     119.208900
   48  2018_03_05  09_51_51   470.0     119.211690
   49  2018_03_05  09_52_01   480.0     119.213890
   50  2018_03_05  09_52_11   490.0     119.216620
   51  2018_03_05  09_52_21   500.0     119.218890
   52  2018_03_05  09_52_31   510.0     119.220970
   53  2018_03_05  09_52_41   520.0     119.223320
   54  2018_03_05  09_52_51   530.0     119.224940
   55  2018_03_05  09_53_01   540.0     119.227050
   56  2018_03_05  09_53_11   550.0     119.229280
   57  2018_03_05  09_53_21   560.0     119.231600
   58  2018_03_05  09_53_31   570.0     119.232630
   59  2018_03_05  09_53_41   580.0     119.234830
   60  2018_03_05  09_53_51   590.0     119.236830
   61  2018_03_05  09_54_01   600.0     119.237860
   62  2018_03_05  09_54_11   610.0     119.239300
   63  2018_03_05  09_54_21   620.0     119.240620
   64  2018_03_05  09_54_31   630.0     119.242150
   65  2018_03_05  09_54_41   640.0     119.243500
   66  2018_03_05  09_54_51   650.0     119.244940
   67  2018_03_05  09_55_01   660.0     119.245790
   68  2018_03_05  09_55_11   670.0     119.246350
   69  2018_03_05  09_55_21   680.0     119.247930
   70  2018_03_05  09_55_31   690.0     119.248900
   71  2018_03_05  09_55_41   700.0     119.249840
   72  2018_03_05  09_55_51   710.0     119.250900
   73  2018_03_05  09_56_01   720.0     119.251810
   74  2018_03_05  09_56_11   730.0     119.252430
   75  2018_03_05  09_56_21   740.0     119.253810
   76  2018_03_05  09_56_31   750.0     119.254100
   77  2018_03_05  09_56_41   760.0     119.255190
   78  2018_03_05  09_56_51   770.0     119.255630
   79  2018_03_05  09_57_01   780.0     119.256210
   80  2018_03_05  09_57_11   790.0     119.256890
   81  2018_03_05  09_57_21   800.0     119.257540
   82  2018_03_05  09_57_31   810.0     119.258470
   83  2018_03_05  09_57_41   820.0     119.259330
   84  2018_03_05  09_57_51   830.0     119.259530
   85  2018_03_05  09_58_01   840.0     119.260270
   86  2018_03_05  09_58_11   850.0     119.260410
   87  2018_03_05  09_58_21   860.0     119.261060
   88  2018_03_05  09_58_31   870.0     119.261590
   89  2018_03_05  09_58_41   880.0     119.262060
   90  2018_03_05  09_58_51   890.0     119.262820
   91  2018_03_05  09_59_01   900.0     119.263350
   92  2018_03_05  09_59_11   910.0     119.263940
   93  2018_03_05  09_59_21   920.0     119.264110
